sample,Category,TRBV10-1,TRBV10-2,TRBV10-3,TRBV11-1,TRBV11-2,TRBV11-3,TRBV12-1,TRBV12-2,TRBV12-3,TRBV12-4,TRBV12-5,TRBV13,TRBV14,TRBV15,TRBV16,TRBV18,TRBV19,TRBV2,TRBV20-1,TRBV23-1,TRBV24-1,TRBV25-1,TRBV26,TRBV27,TRBV28,TRBV29-1,TRBV3-1,TRBV3-2,TRBV30,TRBV4-1,TRBV4-2,TRBV4-3,TRBV5-1,TRBV5-3,TRBV5-4,TRBV5-5,TRBV5-6,TRBV5-7,TRBV5-8,TRBV6-1,TRBV6-2,TRBV6-4,TRBV6-5,TRBV6-6,TRBV6-7,TRBV6-8,TRBV6-9,TRBV7-1,TRBV7-2,TRBV7-3,TRBV7-4,TRBV7-5,TRBV7-6,TRBV7-7,TRBV7-8,TRBV7-9,TRBV9
BW_11__TRB.csv,cancer,0.0014862339420515,0.0063422458319231,0.0130082257898376,0.0012655061288756,0.0133025295407389,0.0036640816987212,,,0.0185117059316921,0.0154215165472283,0.0040466765748929,0.0060185117059316,0.0067101255205497,0.0112571184719749,0.0003384493135365,0.0131700928528334,0.0493694542136939,0.0883499860205718,0.0797416013067086,,0.0112424032844298,0.0041349677001633,,0.0153626557970481,0.0401577468104831,0.0847447650720308,0.0278999955854437,,0.0062098091440175,0.085465809261739,0.0110805362214341,,0.0460291066409641,2.9430375090130523e-05,0.0107126565328075,0.0037818031990817,0.0207925600011772,4.414556263519578e-05,0.0012949365039657,0.0217196168165163,0.010153479406095,0.0019276895684035,0.0250893947643362,0.0265167679562076,0.0001618670629957,5.8860750180261046e-05,0.000235443000721,,0.0642023632591197,0.0061362332062922,0.0002943037509013,1.4715187545065262e-05,0.0051797460158629,0.0008681960651588,0.0142001559809879,0.1076857424547875,0.0145680356696146
BW_1__TRB.csv,cancer,0.0005213551143914,0.0013596123571384,0.0102022040031894,0.0011858273190079,0.010519106131545,0.0021058657561693,,1.0222649301793052e-05,0.0141583692829833,0.028991433419885,0.0050090981578785,0.002862341804502,0.0067367258898816,0.0065527182024493,0.0001328944409233,0.0118071599435709,0.0427408967307967,0.0349819059107358,0.0910633599803725,,0.0232974177587863,0.0014822841487599,,0.0113369180756884,0.0418515262415407,0.0450818834209073,0.0320173376132158,,0.0036494858007401,0.0066344993968636,0.0132894440923309,0.0075749831326286,0.2504855758418352,6.133589581075832e-05,0.007799881417268,0.0023920999366195,0.0046001921858068,1.0222649301793052e-05,0.0009404837357649,0.013483674429065,0.0133916705853489,0.0012369405655169,0.0295945697286908,0.0076772096256465,2.0445298603586107e-05,4.089059720717221e-05,0.0001022264930179,,0.1353887673529472,0.0041912862137351,0.0001635623888286,,0.002811228557993,0.0038641614360777,0.0057451289076076,0.0384576066733454,0.0203839627077753
BW_2__TRB.csv,cancer,0.0008000640051204,0.0023681894551564,0.0208336666933354,0.0013121049683974,0.0105128410272821,0.0037923033842707,,,0.0254260340827266,0.027522201776142,0.0060804864389151,0.0053124249939995,0.0082886630930474,0.004704376350108,0.0006560524841987,0.1146811744939595,0.0903752300184014,0.0209616769341547,0.0651892151372109,,0.0150092007360588,0.0028802304184334,,0.0178254260340827,0.0739259140731258,0.0491559324745979,0.0381630530442435,,0.0114249139931194,0.0265461236898951,0.0463877110168813,,0.0355388431074486,6.400512040963277e-05,0.0111368909512761,0.0050244019521561,0.0068645491639331,0.0001120089607168,0.0013761100888071,0.0334906792543403,0.0075846067685414,0.0023841907352588,0.0291383310664853,0.0444675574045923,0.0001280102408192,,0.0006560524841987,,0.0287382990639251,0.0049603968317465,0.000512040963277,,0.0040163213057044,0.0009280742459396,0.0343387470997679,0.0425794063525082,0.0158252660212817
BW_8__TRB.csv,cancer,0.0010905446828578,0.0016800282952133,0.0068380099033246,0.0002063192643244,0.0057769394010846,0.0010021221410044,,,0.0069853808064135,0.0069559066257958,0.0065432680971468,0.0040674369252534,0.0028000471586889,0.0073390709738269,8.842254185333648e-05,0.0035369016741334,0.0205435038905918,0.0239625088422541,0.0407333176137703,,0.1168061777882574,0.0022400377269511,,0.0801108229191228,0.0382869606224946,0.0483081820325395,0.0042442820089601,,0.0035663758547512,0.0080169771280358,0.0101391181325159,,0.1422423956614006,,0.0101980664937514,0.0009726479603867,0.0067790615420891,,0.0278236265031832,0.0091369959915114,0.0059832586654091,0.00106107050224,0.1252357934449422,0.016652912049045,0.0064548455552935,5.894836123555765e-05,2.9474180617778827e-05,,0.0131454845555293,0.0035369016741334,0.0001768450837066,,0.0044800754539023,0.003861117660929,0.1012143362414524,0.0237267153973119,0.0453607639707616
BW_5__TRB.csv,cancer,0.0011587725288141,0.0038591263682827,0.0163780081527924,0.0011173877956421,0.0127258054503693,0.0010035797794193,,1.034618329298322e-05,0.0212303681172015,0.0108634924576323,0.0021416599416475,0.0034763175864423,0.0259482276988019,0.0075734061704637,0.0006414633641649,0.0164193928859643,0.0580627806402218,0.0446851656423945,0.1079934612121588,,0.0052455149295424,0.0027727771225195,,0.0224201791958946,0.12696836137149,0.076447948351853,0.0263931135804001,,0.0124981894179237,0.0140190783619922,0.0274587704595774,0.0097461046619901,0.1056966085211165,7.242328305088253e-05,0.0333974796697498,0.0050696298135617,0.0113290707058166,5.173091646491609e-05,0.0006828480973368,0.0232582200426262,0.0188507459598154,0.0021520061249405,0.0182713596954083,0.0124981894179237,0.0002069236658596,0.0001138080162228,7.242328305088253e-05,,0.0397810747615204,0.0047282057648933,0.0002793469489105,5.173091646491609e-05,0.0034142404866844,0.0007759637469737,0.0137190390464957,0.033262979286941,0.0130051523992799
BW_15__TRB.csv,cancer,0.0015771072432925,0.0128258721593068,0.0609371437257733,0.0003800258417572,0.0115242836512882,0.0010165691267006,,1.900129208786197e-05,0.092925818955689,0.0239796306148818,0.001225583339667,0.0037337538952648,0.0107452306756859,0.0256802462567454,0.0001995135669225,0.0087025917762407,0.0427529071976894,0.0269058295964125,0.0779337994983658,,0.0075720148970129,0.0076195181272326,,0.1290092726305388,0.0316751539104659,0.0402732385802234,0.0674165843277342,,0.0130158850801854,0.013490917382382,0.0055673785817435,,0.0410902941400015,3.800258417572395e-05,0.007011476780421,0.0019286311469179,0.0085790833776696,9.500646043930989e-06,0.0013395910921942,0.0166166299308352,0.0076100174811887,0.0024891692635099,0.0534981378733753,0.0094151402295356,0.0005605381165919,3.800258417572395e-05,0.0002755187352739,,0.0464866610929543,0.0054058675989967,7.60051683514479e-05,1.900129208786197e-05,0.004816827544273,0.0006935471612069,0.0174051835524815,0.0306395834916774,0.0252527171847685
BW_12__TRB.csv,cancer,0.0006469942895721,0.0012236631128864,0.0187698669442178,0.0011322400067512,0.0195645447129314,0.0028692790233199,,1.4065093251568258e-05,0.0195997074460603,0.0146206644350052,0.0028411488368167,0.0033334271006216,0.0060339250049227,0.0059846971785422,0.0005766688233142,0.018340881600045,0.0423218655939688,0.0287138878730765,0.1979028945961911,,0.0098947931024782,0.0028622464766941,,0.0086500323497144,0.0325536583307547,0.1858069143998424,0.0524557652817238,,0.0107035359644434,0.0131578947368421,0.0123843146080058,0.0118779712509493,0.0398886044614475,3.516273312892064e-05,0.0136642380938985,0.0031716785282286,0.0118850037975751,3.516273312892064e-05,0.0013221187656474,0.0169414048215139,0.0155489605896087,0.0020605361613547,0.0223986610031224,0.0233058595178486,0.0001969113055219,0.0001828462122703,0.0003305296914118,,0.0464710681031815,0.007327913584067,0.0003375622380376,,0.0038257053644265,0.0013432164055247,0.010000281301865,0.0381164027117499,0.0167726237024951
BW_13__TRB.csv,cancer,0.0017727502954583,0.0140807023467837,0.0606280601046766,0.0009792334965389,0.0145196690866115,0.0011143001857166,,1.688333614722269e-05,0.0612527435421239,0.0204963700827283,0.0015026169171028,0.0035623839270639,0.0127975687995948,0.0251899375316562,0.0001857166976194,0.0119702853283808,0.0456694242782373,0.0293770048961674,0.0747087624514604,,0.0089819348303224,0.0075975012662502,,0.0966570994428499,0.0428330238055039,0.0483876413979402,0.0364848894141482,,0.0196353199392199,0.0175755529292588,0.0057741009623501,,0.0560020260003376,8.441668073611346e-05,0.0133209522201587,0.0030221171703528,0.0160391693398615,1.688333614722269e-05,0.0026000337666722,0.0176262029377004,0.0090325848387641,0.0033091338848556,0.0412797568799594,0.0112443018740503,0.0008779334796555,5.065000844166807e-05,0.0006753334458889,,0.0499746749957791,0.0086949181158196,0.000151950025325,,0.005993584332264,0.0010974168495694,0.0250042208340368,0.0394225899037649,0.0307276717879452
WDM__TRB.csv,healthy,0.0012992545260915,0.0025133120340788,0.0149520766773162,0.0007241746538871,0.0099467518636847,0.0018317358892438,,2.1299254526091583e-05,0.0212992545260915,0.0173801916932907,0.0031096911608093,0.0019382321618743,0.0249201277955271,0.0050266240681576,0.000937167199148,0.0221938232161874,0.0900958466453674,0.0682002129925452,0.0964217252396166,,0.0168477103301384,0.0026411075612353,,0.0195101171458998,0.1628541001064962,0.0846219382321618,0.0305005324813631,,0.0063045793397231,0.0156123535676251,0.0119914802981895,,0.0404472843450479,8.519701810436634e-05,0.014419595314164,0.0030670926517571,0.0061341853035143,2.1299254526091583e-05,0.0010862619808306,0.0325452609158679,0.0052183173588924,0.0036634717784877,0.0178700745473908,0.0185303514376996,0.0001916932907348,0.0001277955271565,0.0001490947816826,,0.0206602768903088,0.0042385516506922,0.0002981895633652,,0.0053035143769968,0.000937167199148,0.0205537806176783,0.053738019169329,0.0170181043663471
LFJ__TRB.csv,healthy,0.0032502345530089,0.0052941964884063,0.0246615735156145,0.0006031363088057,0.0140731805388017,0.0031999731939418,,,0.0278112853504892,0.0179265514006165,0.0064669615333065,0.0051099048384935,0.0193506232408524,0.0062324085243264,0.0012732877630344,0.0254322476879774,0.0924306393244873,0.0410300227851494,0.1065540812223562,,0.0080753250234553,0.0032334807666532,,0.0328039136844926,0.0922295938882187,0.0609837823348076,0.0351661975606487,,0.0118281731671357,0.0278280391368449,0.036623776973596,0.0143244873341375,0.0111747754992628,1.6753786355716393e-05,0.0318489478622168,0.0032334807666532,0.0107894384130813,1.6753786355716393e-05,0.0009717196086315,0.0358363490148773,0.0120292186034043,0.0088459991958182,0.0291348344725908,0.0218971987669213,0.0002177992226243,0.0001005227181342,0.0003015681544028,,0.0381148639592547,0.0049758745476477,0.0002848143680471,1.6753786355716393e-05,0.0037360943573247,0.0009214582495644,0.0110742527811285,0.0284981905910735,0.0221652593486127
BF__TRB.csv,healthy,,0.0079386080973802,0.0502778512834083,0.000793860809738,0.0136279439005027,0.001190791214607,,,0.0220957925377083,0.0162741465996295,0.0021169621593014,0.0042339243186028,0.0156125959248478,0.0037046837787774,0.001190791214607,0.0216988621328393,0.0768721884096321,0.03215136279439,0.1129928552527123,,0.0123048425509394,0.001587721619476,,0.0402222810267266,0.1559936491135221,0.0801799417835406,0.0302990209050013,,0.0133633236305901,0.0152156655199788,0.0091293993119872,0.0134956337655464,0.0230219634824027,,0.0197142101084943,0.0006615506747816,0.0107171209314633,,0.000793860809738,0.0387668695422069,0.0209050013231013,0.0091293993119872,0.0320190526594337,0.0178618682191055,,,,,0.0198465202434506,0.001587721619476,,,0.0010584810796507,0.0021169621593014,0.0108494310664196,0.0235512040222281,0.0128340830907647
iRNormal_XH__TRB.csv,healthy,0.0056278495440729,0.0057821998480243,0.02587148556231,0.0008192439209726,0.0075750379939209,0.0006530205167173,,,0.0573826937689969,,0.00243398556231,0.0024577317629179,0.01171875,0.0057228343465045,0.001199183130699,0.0242804901215805,0.0708586626139817,0.0216327887537993,0.0979055851063829,,0.0149601063829787,0.0010923252279635,,0.0196618541033434,0.0760234612462006,0.103747150455927,0.0536307940729483,3.56193009118541e-05,0.0090591755319148,0.0213240881458966,0.0155656344984802,0.0722953077507598,0.0291840805471124,7.12386018237082e-05,0.014888867781155,0.0037756458966565,0.0067557940729483,2.3746200607902732e-05,0.0014010258358662,0.0135946998480243,0.0409740691489361,0.0027664323708206,0.0243161094224924,0.0146632788753799,0.0001662234042553,0.0001424772036474,5.936550151975684e-05,,0.0434318009118541,0.0085842515197568,0.0002137158054711,1.1873100303951368e-05,0.0036212955927051,0.0007361322188449,0.0067320478723404,0.0268806990881458,0.0276880699088145
GH03_W_ZXM1225__TRB.csv,healthy,0.0020924654701844,0.0055413117194607,0.0803324787031676,0.0007939789926391,0.0229592258704821,0.0010338268133322,,3.308245802663138e-05,0.0317012654040195,0.0130096766189727,0.0047969564138615,0.0041353072533289,0.0094202299230832,0.0211479612935241,0.0004135307253328,0.022454718385576,0.0562153668017533,0.0285667025059961,0.0929865188983541,,0.0104954098089488,0.0033165164171697,,0.0352989827144156,0.0548507154081548,0.0606814986353486,0.0360764204780415,,0.0111487883549747,0.0246464312298403,0.0135638077909188,0.039376395666198,0.0356298072946819,9.924737407989412e-05,0.0116284839963609,0.0035150111653295,0.0062691257960466,1.654122901331569e-05,0.0018278058059713,0.0276238524522372,0.0201472169382185,0.0081961789760979,0.0255892812835993,0.0177073856587544,0.0001488710611198,0.0001323298321065,0.0001819535191464,,0.0588785046728971,0.0064841617732197,0.0004548837978661,3.308245802663138e-05,0.0047969564138615,0.0010503680423455,0.0140765858903316,0.0486312132991481,0.0197915805144322
GH03_W_LXZ1225__TRB.csv,healthy,0.0006736210015781,0.0038300165518303,0.0196408637745871,0.00083721467339,0.0125293506293544,0.0011451557026829,,1.924631433080565e-05,0.0358077678124639,0.0159648177374032,0.0021074714192232,0.0053216059124677,0.0211805689210516,0.0373282266445975,0.0005196504869317,0.0179279417991454,0.0676700411871126,0.0233938950690942,0.1160841448862542,,0.013953577889834,0.0026848608491473,,0.0356056815119904,0.1098098464144116,0.0692193694907425,0.0281862273374648,,0.0099984602948535,0.0237980676700411,0.031390738673544,0.0146656915200739,0.0295430924977866,7.698525732322261e-05,0.0130971169021132,0.0025308903345009,0.0082951614765772,2.8869471496208475e-05,0.0009430694022094,0.0239809076561838,0.0168020324107933,0.003060163978598,0.0482120173986681,0.0152045883213364,0.0002020863004734,0.0001058547288194,0.0002309557719696,,0.0305150313714923,0.0048789406828592,0.0003945494437815,,0.0045709996535663,0.0005870125870895,0.0242888486854767,0.0374340813734169,0.0137226221178644
HL_W_LS0121__TRB.csv,healthy,0.000769530911298,0.0044112546605393,0.011857279112113,0.0014090002601231,0.0173632185901326,0.0005527616405098,1.0838463539408652e-05,3.251539061822596e-05,0.0126051330963322,0.014057487210613,0.0016908003121477,0.0051265932541402,0.0076736321859013,0.0109360097112633,0.0004660539321945,0.0199210959854331,0.0567935489465013,0.0357452527529697,0.2016712910777768,,0.0098846787479406,0.003609208358623,,0.0377720454348391,0.1305818087227954,0.074742044567762,0.0364280759559524,,0.0103290557530564,0.0223489118182606,0.0101014480187288,,0.0312147749934969,4.335385415763461e-05,0.0089850862741697,0.0038259776294112,0.010318217289517,2.1676927078817303e-05,0.0006828232029827,0.0230859273389404,0.0081071707274776,0.0029372236191797,0.029177143848088,0.0150546258562386,0.0001950923437093,5.419231769704327e-05,0.0001950923437093,,0.0362221451487037,0.0049748547645885,0.0003359923697216,1.0838463539408652e-05,0.0037284314575565,0.0002818000520246,0.0119981791381253,0.0375119223098933,0.032146882857886
WJW__TRB.csv,healthy,0.0021789883268482,0.0052918287937743,0.0245914396887159,0.0004669260700389,0.0122957198443579,0.0004669260700389,,,0.0216342412451361,0.0196108949416342,0.0062256809338521,0.0107392996108949,0.0164980544747081,0.0080933852140077,,0.0222568093385214,0.0561867704280155,0.0705058365758754,0.0988326848249027,,0.0076264591439688,0.010272373540856,,0.0242801556420233,0.1612451361867704,0.0932295719844358,0.0216342412451361,,0.0088715953307393,0.0091828793774319,0.050272373540856,,0.0175875486381322,,0.0093385214007782,0.0043579766536964,0.0070038910505836,0.0001556420233463,,0.0171206225680933,0.0037354085603112,0.0045136186770428,0.0213229571984435,0.0217898832684824,,,,,0.015408560311284,0.0023346303501945,,,0.0196108949416342,,0.0174319066147859,0.0642801556420233,0.0115175097276264
HL_W_XQF1225__TRB.csv,healthy,0.0017763657947101,0.0087708061113815,0.0150137070533678,0.0011443895023613,0.0187457832662926,0.0012724928048645,,1.7080440333751804e-05,0.0209064589685122,0.0294210584748874,0.0076605774896876,0.0083437951030377,0.0089928518357203,0.0063795444646562,0.0004697121091781,0.0246983167226051,0.0611479763948314,0.0360482693243831,0.126967453220944,,0.0092746791012272,0.0232720999547368,,0.0573475784205716,0.1052496733365786,0.0826010094540237,0.0346647536573492,,0.0141511448165133,0.0226913649833892,0.0105471719060917,0.0088135072122159,0.0255437985191258,4.270110083437951e-05,0.0110254242354367,0.0031769619020778,0.0062770618226537,,0.0007429991545182,0.0181052667537769,0.0184041744596175,0.0068834174545019,0.0371328772855764,0.0137668349090039,0.0001024826420025,0.0001024826420025,7.686198150188311e-05,,0.0349636613631899,0.0055255224479687,0.0002220457243387,1.7080440333751804e-05,0.0085829212677102,0.0008796426771882,0.0085573006072096,0.0369706131024057,0.0165082455825711
