sample,Category,IGLV1-36,IGLV1-40,IGLV1-41,IGLV1-44,IGLV1-47,IGLV1-50,IGLV1-51,IGLV1-62,IGLV10-54,IGLV2-11,IGLV2-14,IGLV2-18,IGLV2-23,IGLV2-28,IGLV2-33,IGLV2-34,IGLV2-5,IGLV2-8,IGLV3-1,IGLV3-10,IGLV3-12,IGLV3-13,IGLV3-16,IGLV3-19,IGLV3-2,IGLV3-21,IGLV3-22,IGLV3-25,IGLV3-26,IGLV3-27,IGLV3-32,IGLV3-6,IGLV3-9,IGLV4-3,IGLV4-60,IGLV4-69,IGLV5-37,IGLV5-45,IGLV5-48,IGLV5-52,IGLV6-57,IGLV7-35,IGLV7-43,IGLV7-46,IGLV8-61,IGLV9-49,IGLVI-70
BW_15__IGL.csv,cancer,0.0081040054842816,0.0780041132112427,0.0005141514053471,0.0729605327587895,0.0427969836450886,0.0004651846048379,0.1813485456860248,,0.0012731368132406,0.0632895896582117,0.150523944765449,0.0073695034766428,0.0339829595534227,,,,0.0011752032122221,0.0672314170992067,0.043164234648908,0.0184849671922436,0.0001469004015277,,0.0025952404269905,0.0472774458916854,,0.0380716873959455,0.0002203506022916,0.0454901576730976,,0.0067819018705317,,0.000391734404074,0.0024728234257173,0.0003427676035647,0.0064636176672216,0.0206150230143962,0.0010772696112036,0.002693174028009,9.793360101850946e-05,0.0006855352071295,0.0281069434923122,0.000195867202037,0.0063167172656938,0.009132308294976,0.007222603075115,0.0027666242287728,0.0001469004015277
BW_13__IGL.csv,cancer,0.0033142128744423,0.0666666666666666,0.0005353728489483,0.0778330146590184,0.0663097514340344,0.0005353728489483,0.1540599107711918,,0.0020905035054174,0.0776290630975143,0.1440662842574888,0.0068068833652007,0.0317399617590822,,,,0.0009432759719566,0.0811472275334608,0.0495857233906947,0.0173868706182281,0.0002804333970681,,0.0023454429572976,0.0379859783301465,,0.0289356277884002,0.0006118546845124,0.038648820905035,,0.0046144040790312,,0.0008922880815806,0.0027533460803059,0.0003059273422562,0.0077756532823454,0.0219247928616953,0.0003824091778202,0.0065009560229445,5.098789037603569e-05,0.0006118546845124,0.0255449330783938,2.5493945188017844e-05,0.005838113448056,0.0179477374123645,0.0109878903760356,0.0042574888463989,0.00012746972594
BW_12__IGL.csv,cancer,0.0028452063674998,0.0833393358784124,0.0005402290571202,0.0620543110278758,0.0511416840740473,0.0003241374342721,0.1144205142980623,,0.0308650867968018,0.0533026003025282,0.1288986530288842,0.0061225959806958,0.0378160339984153,,,,0.0015126413599366,0.0892098249657854,0.0424620038896492,0.0121731614204422,0.0001800763523734,,0.0043578477274364,0.0623424331916732,,0.0246704602751566,0.0002881221637974,0.0546351653100914,3.601527047468127e-05,0.0072390693654109,,0.000108045811424,0.0079233595044298,0.0006482748685442,0.0073831304473096,0.0262551321760426,0.0010444428437657,0.0100122451919613,7.203054094936253e-05,0.0008643664913923,0.0320535907224663,7.203054094936253e-05,0.0081754663977526,0.0085716343729741,0.0234459410790175,0.0025210689332276,7.203054094936253e-05
BW_11__IGL.csv,cancer,0.0024443289643358,0.0891313971168466,0.0004234270646881,0.0793348345747445,0.0542179109648363,0.0006543872817907,0.1615951652327886,,0.0576245741670997,0.0346440325653906,0.1008333814500452,0.0089497084127259,0.0293127008872721,1.924668475855034e-05,,,0.000981580922686,0.0441134014665973,0.0428816136420501,0.0183035972053813,0.0001539734780684,,0.0006543872817907,0.0481359585811344,,0.0483091787439613,1.924668475855034e-05,0.0621860384548761,,0.0067363396654926,,5.774005427565102e-05,0.00252131570337,0.000211713532344,0.008256827761418,0.0212675866581981,0.001924668475855,0.0035221433108147,0.0001732201628269,0.0011163077159959,0.033469984795119,,0.0045037242335007,0.0106626633562368,0.0138768597109147,0.0065631195026656,0.000211713532344
BW_8__IGL.csv,cancer,0.0009523242664127,0.2652818284625915,0.0005356823998571,0.0297006130587465,0.0638652461163026,0.0004166418665555,0.065472293315874,,0.0172013570620796,0.0412475447890006,0.1249330397000178,0.0059520266650794,0.0464258079876197,,,,0.0010713647997143,0.0233914647937622,0.0537468007856675,0.0385691327897149,0.0010118445330635,,0.0002380810666031,0.0496399023867626,,0.0145824653294446,5.95202666507946e-05,0.0315457413249211,,0.0254151538598892,,0.0002976013332539,0.0006547229331587,0.0005952026665079,0.0011904053330158,0.006071067198381,0.0004761621332063,0.0019046485328254,0.0001785607999523,0.0022022498660794,0.0410689839890482,,0.004344979465508,0.0061901077316826,0.03071245759181,0.0027974525325873,5.95202666507946e-05
BW_5__IGL.csv,cancer,0.0077791927357289,0.0954542937821826,0.0003045235590498,0.0451248546592104,0.0434915010243065,0.0001384197995681,0.1096561652178727,,0.0228115829688278,0.034715685731687,0.070843253418969,0.0035158629090305,0.0452079065389513,5.536791982725209e-05,,,0.0010519904767177,0.1408836720004429,0.0207629699352195,0.0176623664248934,0.0001384197995681,,0.0016610375948175,0.0238635734455456,,0.0773766679585847,2.7683959913626046e-05,0.1250484469298488,,0.0045955373456619,,2.7683959913626046e-05,0.0024638724323127,0.0009966225568905,0.0185205691822158,0.0139250318365539,0.0014395659155085,0.0172194230662754,0.0002491556392226,0.001107358396545,0.0176623664248934,,0.0044294335861801,0.0035435468689441,0.0194895077791927,0.0062565749404794,0.0004983112784452
BW_1__IGL.csv,cancer,0.005344295991778,0.0914696813977389,0.0030832476875642,0.0577595066803699,0.0437821171634121,0.0006166495375128,0.1229188078108941,,0.009044193216855,0.0341212744090441,0.1206577595066803,0.0043165467625899,0.0345323741007194,,,,0.0051387461459403,0.0281603288797533,0.0355601233299075,0.0123329907502569,0.0012332990750256,,0.0057553956834532,0.0947584789311408,,0.0850976361767728,0.0012332990750256,0.0653648509763617,,0.0047276464542651,,0.0002055498458376,0.003699897225077,0.0016443987667009,0.0034943473792394,0.0275436793422404,0.0092497430626927,0.0098663926002055,0.0016443987667009,0.002672147995889,0.0217882836587872,0.0002055498458376,0.0168550873586844,0.010688591983556,0.0147995889003083,0.0082219938335046,0.0004110996916752
BW_2__IGL.csv,cancer,0.0050849667521404,0.13481681081316,0.0005215350515015,0.0847494458690077,0.0578469294623842,0.0003476900343343,0.1318179842670259,,0.0024338302403407,0.0457212395149724,0.114085792515972,0.0106480073014907,0.0350297709591898,,,,0.0016080664087965,0.0644530401147377,0.0370724499109044,0.0108653135729497,0.0001303837628753,,0.0036072841062193,0.0389412838454517,,0.0392889738797861,0.0003911512886261,0.0472858446694771,,0.004302664174888,,0.0004780737972097,0.0039984353948454,0.0005215350515015,0.0026511365117997,0.0262940588465383,0.0024338302403407,0.0067364944152288,0.0003476900343343,0.0044330479377634,0.060280759702725,4.3461254291798863e-05,0.005606501803642,0.0090399408926941,0.0003911512886261,0.005606501803642,8.692250858359773e-05
WDM__IGL.csv,healthy,0.0024006570219217,0.0821277402236401,0.0007581022174489,0.0434645271337418,0.0396108408617095,0.0002527007391496,0.1159264640849074,,0.0279234316760376,0.0753048202665992,0.1290037273359024,0.014151241392381,0.0252068987301787,,,,0.0020216059131972,0.0494661696885463,0.0353781034809526,0.0069492703266157,6.31751847874155e-05,,0.0027165329458588,0.0452334323077895,,0.0542674837323899,,0.1122623033672373,,0.0097921536420494,6.31751847874155e-05,0.0001895255543622,0.0024638322067092,0.0004422262935119,0.010044854381199,0.0240697454040053,0.0051171899677806,0.0121928106639711,0.000315875923937,0.0012635036957483,0.0319034683176448,0.0001895255543622,0.0073283214353401,0.0054330658917177,0.0188893802514372,0.0056857666308673,0.0001263503695748
GH03_W_LXZ1225__IGL.csv,healthy,0.0048555732766259,0.0914407230196703,0.0012759170653907,0.04688995215311,0.0337409179514442,0.0001063264221158,0.1334751018961545,,0.0106326422115895,0.0518872939925571,0.15371256423888,0.0037214247740563,0.043452064504696,3.54421407052986e-05,,,0.004394825447457,0.0539429381534644,0.0476696792486266,0.0202020202020202,0.0006379585326953,,0.0053872053872053,0.0458621300726563,,0.0804891015417331,0.00060251639199,0.0597908913698387,,0.0057416267942583,,0.0003544214070529,0.0087542087542087,0.0008506113769271,0.0041821726032252,0.0229665071770334,0.0039695197589934,0.0085415559099769,0.0008860535176324,0.0024100655679603,0.02849548112706,,0.002977139819245,0.0021619705830232,0.0076909445330497,0.0055644160907318,0.000248094984937
HL_W_XQF1225__IGL.csv,healthy,0.0048100476551017,0.1232797399011268,0.0007125996526076,0.0703692156950073,0.0483231639424575,0.0002672248697278,0.135750233821761,,0.0199082527947267,0.0420879169821404,0.1126352825902997,0.0073041464392286,0.04738787689841,,,,0.002137798957823,0.0526432993363915,0.0283258361911548,0.0152318175744889,4.4537478287979335e-05,,0.0031176234801585,0.045250077940587,,0.0394602057631496,0.0001781499131519,0.0588340088184207,,0.0048100476551017,,0.0001781499131519,0.0072150714826526,0.0022714113926869,0.0118469692246025,0.0225805014920055,0.0027613236538547,0.0092637954838997,0.0002226873914398,0.0024940987841268,0.0399501180243174,0.0003117623480158,0.0039192980893421,0.0090856455707477,0.0173696165323119,0.0074377588740925,0.0002226873914398
HL_W_LS0121__IGL.csv,healthy,0.0044483465027802,0.0870939420544337,0.0006438396254023,0.0648522095405326,0.0334211296458882,0.0001170617500731,0.1519461515949663,,0.0595258999122036,0.0330699443956687,0.1035996488147497,0.0062042727538776,0.0389815627743634,,,,0.0021656423763535,0.0987415861867135,0.0297336845185835,0.0244659057652911,0.000409716125256,,0.0031021363769388,0.0374597600234123,,0.0528533801580333,5.85308750365818e-05,0.0497512437810945,,0.0055604331284752,,0.0002926543751829,0.0051507170032191,0.0002926543751829,0.0070822358794263,0.0101843722563652,0.0042142230026338,0.0403863037752414,0.0001170617500731,0.001814457126134,0.0238805970149253,0.0001170617500731,0.0049751243781094,0.0032777290020485,0.0032777290020485,0.0066725197541703,5.85308750365818e-05
iRNormal_XH__IGL.csv,healthy,0.0014187342122564,0.0683760683760683,0.0021107996816498,0.0352953389390636,0.0177514792899408,0.0002422229142876,0.1811481366137236,3.460327346967023e-05,0.0154330599674729,0.0276480155022665,0.1225301913561022,0.0083047856327208,0.0984809162946814,3.460327346967023e-05,,3.460327346967023e-05,0.0031488978857399,0.0636008166372538,0.0359181978615176,0.0154330599674729,0.0002422229142876,6.920654693934046e-05,0.003356517526558,0.0369562960656078,,0.0218692688328315,0.0010034949306204,0.0434617114779058,,0.0007612720163327,3.460327346967023e-05,6.920654693934046e-05,0.0057787466694349,0.0002768261877573,0.0059517630367832,0.0119035260735665,6.920654693934046e-05,0.0038063600816637,0.000103809820409,0.0020415931347105,0.0604519187515138,,0.0483753763105989,0.009965742759265,0.0457109242534343,0.000726668742863,6.920654693934046e-05
LFJ__IGL.csv,healthy,0.0014315604008369,0.0624931174980728,0.0009360202620856,0.0438277722717762,0.0370003303600925,5.506001541680432e-05,0.1253716551040634,,0.0303931285100759,0.10268692875234,0.1292258561832397,0.0118379033146129,0.0441030723488602,,,,0.0020372205704217,0.0918951657306464,0.0507102741988767,0.0178945050104614,0.0002202400616672,,0.0040193811254267,0.0374958704988437,,0.0338068494659178,5.506001541680432e-05,0.0610615570972359,,0.0050655214183459,,0.0003303600925008,0.0024226406783393,0.0009360202620856,0.0019271005395881,0.0225746063208897,0.0037440810483426,0.0052857614800132,,0.0014315604008369,0.0330910692654993,,0.003633961017509,0.0020372205704217,0.0198216055500495,0.0090849025437727,5.506001541680432e-05
BF__IGL.csv,healthy,,0.0614035087719298,0.0007017543859649,0.0849122807017543,0.0221052631578947,,0.0975438596491228,,0.2371929824561403,0.0361403508771929,0.0898245614035087,,0.0326315789473684,,,,0.0017543859649122,0.0778947368421052,0.0210526315789473,0.0143859649122807,0.0024561403508771,,0.0014035087719298,0.0466666666666666,,0.08,0.0010526315789473,0.0287719298245614,,0.0014035087719298,,,0.0066666666666666,0.0010526315789473,,0.0136842105263157,,0.015438596491228,,,0.0168421052631578,,,0.0052631578947368,0.0017543859649122,,
