sample,Category,IGHJ1,IGHJ2,IGHJ2P,IGHJ3,IGHJ3P,IGHJ4,IGHJ5,IGHJ6
BW_1__IGH.csv,before,0.0182534001431639,0.0206692913385826,0.0003579098067287,0.0738188976377952,,0.6182891911238368,0.1279527559055118,0.1406585540443808
BW_2__IGH.csv,before,0.0222163865546218,0.0445903361344537,0.0012342436974789,0.0970063025210084,,0.545640756302521,0.145719537815126,0.1435924369747899
BW_5__IGH.csv,before,0.0213579750903977,0.0183848935315387,0.0013820811570912,0.0718039373242266,,0.531860184813178,0.153539574126155,0.2016713539574126
BW_8__IGH.csv,before,0.0094455852156057,0.0184804928131416,0.0004106776180698,0.0470225872689938,,0.4928131416837782,0.1449691991786447,0.2868583162217659
BW_15__IGH.csv,before,0.0389477495631366,0.0268572598038444,0.0011019977645188,0.1074290392153776,,0.5819177909667669,0.120983611718959,0.1227625509673966
BW_11__IGH.csv,before,0.020671834625323,0.0417108663130694,0.0014279885760913,0.0948048415612675,,0.5289269685842514,0.1300285597715218,0.1824289405684754
BW_12__IGH.csv,before,0.0235586240310077,0.0281613372093023,0.0012112403100775,0.1041969476744186,,0.5613796027131783,0.1282097868217054,0.1532824612403101
BW_13__IGH.csv,before,0.0382257980973428,0.0323037345258032,0.0021581864327768,0.1181477580759336,,0.5720402631260899,0.1193218114953642,0.1178024482466893
BW_4__IGH.csv,after,0.028605929380413,0.0384535309793471,0.0005621252498334,0.1447993004663557,,0.5267321785476349,0.1175882744836775,0.1432586608927381
BW_17__IGH.csv,after,0.0144404332129963,0.028829293450232,0.0004125838060856,0.0959257349149046,,0.5122743682310469,0.1521918514698298,0.1959257349149046
BW_9__IGH.csv,after,0.0146582580535196,0.0240327254133287,0.0006817794443497,0.073120845406511,,0.5800238622805522,0.1491392534515084,0.1583432759502301
BW_6__IGH.csv,after,0.0155645524066576,0.0247413405308142,0.0007197480881691,0.0753936122357175,,0.6063877642825011,0.1425101214574898,0.1346828609986504
BW_7__IGH.csv,after,0.0327053504144687,0.0204973624717407,0.00060286360211,0.0530519969856819,,0.6590806330067822,0.1267520723436322,0.107309721175584
BW_14__IGH.csv,after,0.0122138271885474,0.0269272283133556,0.0007953189797193,0.095977958302562,,0.5367835028120207,0.2077770834516843,0.1195250809521104
BW_16__IGH.csv,after,0.0201904136572554,0.0282486718796633,0.0009401301259475,0.0852086193517579,,0.539918223601743,0.13751268429535,0.1879812570882827
BW_10__IGH.csv,after,0.0144696953408871,0.0300144051944701,0.0007525101588871,0.1198211175850874,,0.5575885274451206,0.1237341704113005,0.1536195738642471
