sample,Category,TRBJ1-1,TRBJ1-2,TRBJ1-3,TRBJ1-4,TRBJ1-5,TRBJ1-6,TRBJ2-1,TRBJ2-2,TRBJ2-3,TRBJ2-4,TRBJ2-5,TRBJ2-6,TRBJ2-7
BW_1__TRB.csv,before,0.0977860627819202,0.0831722360305624,0.0181809813127128,0.0281229862837153,0.0642778238055785,0.0115990057995029,0.2601031022737733,0.034313725490196,0.1137807235570284,0.0125655896161281,0.0749562735892479,0.021725121973672,0.1794163674859615
BW_2__TRB.csv,before,0.1268468468468468,0.0999399399399399,0.0256756756756756,0.0327027027027027,0.0911711711711711,0.0324924924924924,0.1853453453453453,0.0384384384384384,0.1018618618618618,0.0136636636636636,0.0739039039039039,0.0143243243243243,0.1636336336336336
BW_8__TRB.csv,before,0.075631583115546,0.0544864179931892,0.0095826403738021,0.0132256276233467,0.1591827037301021,0.0144927536231884,0.1711412053536073,0.0433990654945751,0.0870357171141205,0.0116417201235447,0.1320978854834877,0.0133840183733269,0.2146986615981626
BW_5__TRB.csv,before,0.1220235859686021,0.0906444828363254,0.0175392473522121,0.0215015398482686,0.0753398933373394,0.0198490197551265,0.2273529632689852,0.0368812438969428,0.1217982423195373,0.015605047697739,0.0729550063847367,0.0261961992037857,0.1523135281303988
BW_11__TRB.csv,before,0.116264968925269,0.0837177071829186,0.0185149093743909,0.0350592260551332,0.0730202039888261,0.0233872539465991,0.1641438749215011,0.0421836765629398,0.139587258277572,0.015353299118647,0.1101799519262002,0.0244266874553368,0.1541609822646657
BW_12__TRB.csv,before,0.1154546442741453,0.0904532855046469,0.0191994130115767,0.0353008315669329,0.0809826621012011,0.0312652861568563,0.1553752921354421,0.0663487146040545,0.1189330941899016,0.0141855535626936,0.097681939235828,0.0141855535626936,0.1606337300940268
BW_13__TRB.csv,before,0.0908916525464369,0.0631733751078998,0.011924933661562,0.0259279388727261,0.0985005914511333,0.0265673455033728,0.2010933853384059,0.0526551360337606,0.1035519038332427,0.0168163943860097,0.089676779948208,0.021100418811343,0.1981201445058985
BW_15__TRB.csv,before,0.0837938592383057,0.0668402615162698,0.0115584196624267,0.023191772353459,0.1113692137651973,0.0289990820703995,0.2064592270658099,0.0363799853880594,0.0967010734156347,0.0130570802345403,0.0915119611846911,0.0164290665217961,0.2137089975834098
BW_17__TRB.csv,after,0.1165441121411348,0.0832372366076108,0.0211462716966438,0.0358677908735566,0.0758090845102062,0.0330822338370299,0.1807017806598475,0.0593802884399383,0.1195543108741557,0.0161142976951761,0.0823236937085348,0.0187201413745076,0.1575187575816572
BW_4__TRB.csv,after,0.1429048610838212,0.1021338468188784,0.0230675521672495,0.0308877274334892,0.0861594686996502,0.0249145282351554,0.1863087986796086,0.0326954061382481,0.1250049121703933,0.0121428852124022,0.0760993437340354,0.0131056706095021,0.1445749990175659
BW_9__TRB.csv,after,0.0823163967162192,0.0873086310184158,0.0197470601286887,0.0264033725316174,0.0766585311737297,0.0256268027512757,0.1818282671400044,0.0487020190814288,0.1073885067672509,0.0190814288883958,0.0717772354115819,0.0168626580874195,0.2362990903039716
BW_6__TRB.csv,after,0.096944834286948,0.0917089495843679,0.0223469718233833,0.0307675699017596,0.0743819496923243,0.0289862895390262,0.176832559645903,0.0524668034114217,0.1015329806758069,0.0204037568822195,0.0756234481269567,0.0166252833855122,0.21137860304437
BW_7__TRB.csv,after,0.098051539912005,0.0862979258328095,0.02049025769956,0.0225644248900062,0.0714644877435575,0.0257699560025141,0.197171590194846,0.056882463859208,0.1002514142049025,0.0162162162162162,0.0833438089252042,0.0160276555625392,0.205468258956631
BW_16__TRB.csv,after,0.117800322223341,0.0970949551908166,0.0174831336219917,0.0281567817943812,0.0768301278823884,0.0323985499949652,0.1747432282750981,0.0576729433088309,0.118152754002618,0.0130148021347296,0.0922238445272379,0.0140469237740408,0.1603816332695599
BW_14__TRB.csv,after,0.1041177071625625,0.0659037498722795,0.0167569224481455,0.0288137325022989,0.0630428118933278,0.0206396239910084,0.1838152651476448,0.067027689792582,0.134055379585164,0.0202309185654439,0.0903238990497598,0.0189026259323592,0.1863696740574231
BW_10__TRB.csv,after,0.1032014069381974,0.0769613870169486,0.0251194496755015,0.0367764929264003,0.068557110173844,0.0272516458375484,0.1671984187508754,0.0615224191866527,0.1145783076276594,0.0177423622243319,0.0859570759341976,0.0160303799044402,0.1991035438034021
