sample,therapy,top10TRD
BW_1,before,0.805
BW_2,before,0.8924766977363515
BW_5,before,0.7830791933103788
BW_8,before,0.8970398970398971
BW_11,before,0.7958074534161491
BW_12,before,0.6446389496717724
BW_13,before,0.8616822429906542
BW_15,before,0.8867693978684407
BW_4,after,0.4449360865290069
BW_6,after,0.6605042016806723
BW_7,after,0.6248856358645929
BW_9,after,0.6553784860557769
BW_10,after,0.6240747954811063
BW_14,after,0.5128205128205128
BW_16,after,0.5625079648273226
BW_17,after,0.7021768850562625
