sample,therapy,top50IGK
BW_1,before,0.3720348313482134
BW_2,before,0.4547695525509823
BW_5,before,0.316431517256349
BW_8,before,0.3504829779714925
BW_11,before,0.2448237614000493
BW_12,before,0.2253580040352344
BW_13,before,0.2880569970059686
BW_15,before,0.2512482168330955
BW_4,after,0.2520647971564051
BW_6,after,0.2167952013710368
BW_7,after,0.3275643945144476
BW_9,after,0.3223362490529651
BW_10,after,0.3224697902160729
BW_14,after,0.5235713190740905
BW_16,after,0.1901628076807423
BW_17,after,0.340538914435515
