sample,therapy,top50TRD
BW_1,before,0.8926851851851851
BW_2,before,0.936750998668442
BW_5,before,0.9030988686669946
BW_8,before,0.9742599742599742
BW_11,before,0.8645186335403726
BW_12,before,0.8271334792122538
BW_13,before,0.9412550066755674
BW_15,before,0.9389043513678637
BW_4,after,0.7418879056047197
BW_6,after,0.8420168067226891
BW_7,after,0.8385178408051235
BW_9,after,0.896414342629482
BW_10,after,0.8102843786521231
BW_14,after,0.8666666666666667
BW_16,after,0.7729068433796356
BW_17,after,0.8490903354716585
