sample,Category,TRBJ1-1,TRBJ1-2,TRBJ1-3,TRBJ1-4,TRBJ1-5,TRBJ1-6,TRBJ2-1,TRBJ2-2,TRBJ2-3,TRBJ2-4,TRBJ2-5,TRBJ2-6,TRBJ2-7
BW_1__TRB.csv,before,0.0663756619165422,0.0583611048639365,0.0158451064177792,0.0164993559730939,0.0574308437774733,0.0063891558136206,0.4164707325550489,0.0273046962850892,0.0809940504181063,0.0082087873893398,0.0472286397742839,0.0335814029563901,0.1653104618592954
BW_2__TRB.csv,before,0.1228738299063925,0.0758780702456196,0.031714537162973,0.0255540443235458,0.0782622609808784,0.0311064885190815,0.2436674933994719,0.0315705256420513,0.0987438995119609,0.0124169933594687,0.0747099767981438,0.0126090087206976,0.1608928714297143
BW_8__TRB.csv,before,0.0548514501296864,0.0346026880452723,0.0042737561895779,0.0065727422777646,0.2100919594435274,0.0085475123791558,0.1819735911341664,0.03304055647253,0.0677611412402735,0.0084001414760669,0.1558005187455788,0.0097559537844847,0.2243279886819146
BW_5__TRB.csv,before,0.1155565211993295,0.0789517247087549,0.0135845386636869,0.0150950814244625,0.0683675792000331,0.0156123905891116,0.2704595774618743,0.027696732675316,0.1236886212676143,0.0150536966912905,0.0678606162186769,0.0635566039687959,0.124516315931053
BW_11__TRB.csv,before,0.0999161234309931,0.071942551907824,0.0150389216710566,0.029548096590491,0.0711479317803905,0.0194534779345762,0.1920331974631016,0.0352723045455214,0.1466368438865753,0.0140088585429021,0.1259620053857586,0.0314169254087143,0.1476227614520947
BW_12__TRB.csv,before,0.0969084925033053,0.0676882612731722,0.0131649272834678,0.0260344876086528,0.1266420996371206,0.0242833834988326,0.1437382204844018,0.149399420518158,0.0909026976848856,0.0118287434245689,0.0764930096486539,0.0107457312441981,0.162170525190582
BW_13__TRB.csv,before,0.0747087624514604,0.0521526253587708,0.0073949012324835,0.020698970116495,0.13957453992909,0.033513422252237,0.2000675333445888,0.0434070572345095,0.0940570656761776,0.0133716022286003,0.0942934323822387,0.0213405368900894,0.2054195509032584
BW_15__TRB.csv,before,0.0618872083301664,0.0524815687466747,0.0070304780725089,0.0162936079653416,0.1630025841757239,0.0404537508550581,0.1999410959945276,0.0268108231359732,0.0843372349319753,0.0087690962985483,0.1003173215778673,0.0136524283651288,0.2250228015505054
BW_17__TRB.csv,after,0.1171778069828782,0.0770984017866169,0.0219191427179736,0.032598406381825,0.073311950298229,0.0330211655285867,0.2000845518293523,0.0524680862796276,0.1237581450063873,0.0144105726548355,0.0726778115780863,0.0168736042055344,0.1646003547500666
BW_4__TRB.csv,after,0.1653367545973235,0.0802849662567408,0.0212785931094908,0.020777920330444,0.0820268903005079,0.0172523495113225,0.1965975112390608,0.0259098163156741,0.1441520376339038,0.0088869418280814,0.0563256876427699,0.0089182338767719,0.172252297357908
BW_9__TRB.csv,after,0.0776996023248699,0.0786173141633527,0.0213368002447231,0.0292903028449067,0.0745640868767207,0.0234016518813092,0.1821657999388192,0.0487916794126644,0.1100489446313857,0.0224074640562863,0.0646222086264912,0.0159834811869073,0.2510706638115632
BW_6__TRB.csv,after,0.0873212173351973,0.0811198336738717,0.0245904577553141,0.0348424561780836,0.0646664515897766,0.0252356884252787,0.1755385883786787,0.0574972219235043,0.1052801376492096,0.023586765602036,0.0716564505143922,0.0153063053374914,0.2333584256371652
BW_7__TRB.csv,after,0.1012032660077352,0.0862913622690159,0.0271594327460249,0.0201547056295659,0.0708637730984099,0.0315857327030511,0.1987537602062741,0.0686721100128921,0.092049849591749,0.015040825096691,0.0759346798452943,0.0134078212290502,0.1988826815642458
BW_16__TRB.csv,after,0.1011262298513711,0.0910110948293908,0.0135063847603098,0.0234038099225455,0.0660079547833368,0.0324052752773707,0.1702826041448608,0.087854301863094,0.1287083943897843,0.0112288046891354,0.109298723047938,0.012158258321122,0.1530081641197404
BW_14__TRB.csv,after,0.0877217199254607,0.0710193940230519,0.0125612533646214,0.021809648699013,0.0488646559458899,0.0160811650217406,0.1898681758575471,0.0644626958382221,0.1566015598039892,0.018220719166264,0.0897922561943543,0.0147698253847746,0.2082269307750707
BW_10__TRB.csv,after,0.0933192427862525,0.0641150523800772,0.0306285609263003,0.0371439073699687,0.0674600257305642,0.0224315383201617,0.165282117257857,0.0688935857379158,0.1180205844513876,0.022210990626723,0.0854254732585921,0.0139588310972247,0.2111100900569748
