fpr,tpr,class,auc
0.0,0.0,experiment,0.47405329593267886
0.043478260869565216,0.0,experiment,0.47405329593267886
0.043478260869565216,0.06451612903225806,experiment,0.47405329593267886
0.21739130434782608,0.06451612903225806,experiment,0.47405329593267886
0.21739130434782608,0.0967741935483871,experiment,0.47405329593267886
0.30434782608695654,0.0967741935483871,experiment,0.47405329593267886
0.30434782608695654,0.22580645161290322,experiment,0.47405329593267886
0.391304347826087,0.22580645161290322,experiment,0.47405329593267886
0.391304347826087,0.3548387096774194,experiment,0.47405329593267886
0.4782608695652174,0.3548387096774194,experiment,0.47405329593267886
0.4782608695652174,0.3870967741935484,experiment,0.47405329593267886
0.5217391304347826,0.3870967741935484,experiment,0.47405329593267886
0.5217391304347826,0.6129032258064516,experiment,0.47405329593267886
0.6086956521739131,0.6129032258064516,experiment,0.47405329593267886
0.6086956521739131,0.6451612903225806,experiment,0.47405329593267886
0.6521739130434783,0.6451612903225806,experiment,0.47405329593267886
0.6521739130434783,0.7096774193548387,experiment,0.47405329593267886
0.6956521739130435,0.7096774193548387,experiment,0.47405329593267886
0.6956521739130435,0.7419354838709677,experiment,0.47405329593267886
0.7391304347826086,0.7419354838709677,experiment,0.47405329593267886
0.7391304347826086,0.8064516129032258,experiment,0.47405329593267886
0.782608695652174,0.8064516129032258,experiment,0.47405329593267886
0.782608695652174,0.8387096774193549,experiment,0.47405329593267886
0.8260869565217391,0.8387096774193549,experiment,0.47405329593267886
0.8260869565217391,0.967741935483871,experiment,0.47405329593267886
0.9130434782608695,0.967741935483871,experiment,0.47405329593267886
0.9130434782608695,1.0,experiment,0.47405329593267886
1.0,1.0,experiment,0.47405329593267886
