feature,importance
TRB_percent_reads_all,0.05915178842796421
TRA_percent_ucdr3,0.0530174409651895
TRA_percent_reads_all,0.0484075030355378
TRB_percent_reads,0.04341478768700242
Aligned_IGK,0.043321286592869726
TRD_percent_reads_all,0.0409311593690732
IGH_percent_reads_all,0.03679228844242091
TRA_percent_reads,0.03628188196293688
TRB_percent_ucdr3,0.03337263066803405
Aligned_IGH,0.031087129298748475
TRA_Gini_index,0.030169157286092832
Aligned_TRG,0.028882904528781148
TRB_Gini_index,0.027783199169575404
TRB_reads,0.026428699213364642
TRG_percent_reads_all,0.02586497123643194
IGK_percent_reads_all,0.025639976107711116
IGL_percent_reads_all,0.024894371800976922
Aligned_TRA,0.02445847203981356
TRA_reads,0.023968589180083096
TRA_Pielou_evenness,0.023712700631317536
total_ucdr3,0.02355594548922038
TRA_d50,0.02283463804861993
TRA_Simpson,0.02264343378964687
TRB_Pielou_evenness,0.02264083810725394
TRA_Simpson_evenness,0.020579420584530116
TRB_d50,0.020524588726622002
TRA_Largest_clone_percent,0.020273205821798475
Aligned_TRD,0.01934574857135436
TRA_ucdr3,0.019091626969701698
TRB_Largest_clone_percent,0.01873739978348199
Aligned_IGL,0.017478873567403012
TRB_Shannon,0.017210575015589098
TRA_Shannon,0.016279244342316163
Aligned_TRB,0.016117147214838447
TRB_Simpson,0.012671971792057325
TRB_Simpson_evenness,0.011445663697503841
TRB_ucdr3,0.01098874083413681
