sample,Category,TRBV10-1,TRBV10-2,TRBV10-3,TRBV11-1,TRBV11-2,TRBV11-3,TRBV12-1,TRBV12-2,TRBV12-3,TRBV12-4,TRBV12-5,TRBV13,TRBV14,TRBV15,TRBV16,TRBV18,TRBV19,TRBV2,TRBV20-1,TRBV23-1,TRBV24-1,TRBV25-1,TRBV26,TRBV27,TRBV28,TRBV29-1,TRBV3-1,TRBV3-2,TRBV30,TRBV4-1,TRBV4-2,TRBV4-3,TRBV5-1,TRBV5-3,TRBV5-4,TRBV5-5,TRBV5-6,TRBV5-7,TRBV5-8,TRBV6-1,TRBV6-2,TRBV6-4,TRBV6-5,TRBV6-6,TRBV6-7,TRBV6-8,TRBV6-9,TRBV7-1,TRBV7-2,TRBV7-3,TRBV7-4,TRBV7-5,TRBV7-6,TRBV7-7,TRBV7-8,TRBV7-9,TRBV9
BW_1__TRB.csv,before,0.0005213551143914,0.0013596123571384,0.0102022040031894,0.0011858273190079,0.010519106131545,0.0021058657561693,,1.0222649301793052e-05,0.0141583692829833,0.028991433419885,0.0050090981578785,0.002862341804502,0.0067367258898816,0.0065527182024493,0.0001328944409233,0.0118071599435709,0.0427408967307967,0.0349819059107358,0.0910633599803725,,0.0232974177587863,0.0014822841487599,,0.0113369180756884,0.0418515262415407,0.0450818834209073,0.0320173376132158,,0.0036494858007401,0.0066344993968636,0.0132894440923309,0.0075749831326286,0.2504855758418352,6.133589581075832e-05,0.007799881417268,0.0023920999366195,0.0046001921858068,1.0222649301793052e-05,0.0009404837357649,0.013483674429065,0.0133916705853489,0.0012369405655169,0.0295945697286908,0.0076772096256465,2.0445298603586107e-05,4.089059720717221e-05,0.0001022264930179,,0.1353887673529472,0.0041912862137351,0.0001635623888286,,0.002811228557993,0.0038641614360777,0.0057451289076076,0.0384576066733454,0.0203839627077753
BW_2__TRB.csv,before,0.0008000640051204,0.0023681894551564,0.0208336666933354,0.0013121049683974,0.0105128410272821,0.0037923033842707,,,0.0254260340827266,0.027522201776142,0.0060804864389151,0.0053124249939995,0.0082886630930474,0.004704376350108,0.0006560524841987,0.1146811744939595,0.0903752300184014,0.0209616769341547,0.0651892151372109,,0.0150092007360588,0.0028802304184334,,0.0178254260340827,0.0739259140731258,0.0491559324745979,0.0381630530442435,,0.0114249139931194,0.0265461236898951,0.0463877110168813,,0.0355388431074486,6.400512040963277e-05,0.0111368909512761,0.0050244019521561,0.0068645491639331,0.0001120089607168,0.0013761100888071,0.0334906792543403,0.0075846067685414,0.0023841907352588,0.0291383310664853,0.0444675574045923,0.0001280102408192,,0.0006560524841987,,0.0287382990639251,0.0049603968317465,0.000512040963277,,0.0040163213057044,0.0009280742459396,0.0343387470997679,0.0425794063525082,0.0158252660212817
BW_8__TRB.csv,before,0.0010905446828578,0.0016800282952133,0.0068380099033246,0.0002063192643244,0.0057769394010846,0.0010021221410044,,,0.0069853808064135,0.0069559066257958,0.0065432680971468,0.0040674369252534,0.0028000471586889,0.0073390709738269,8.842254185333648e-05,0.0035369016741334,0.0205435038905918,0.0239625088422541,0.0407333176137703,,0.1168061777882574,0.0022400377269511,,0.0801108229191228,0.0382869606224946,0.0483081820325395,0.0042442820089601,,0.0035663758547512,0.0080169771280358,0.0101391181325159,,0.1422423956614006,,0.0101980664937514,0.0009726479603867,0.0067790615420891,,0.0278236265031832,0.0091369959915114,0.0059832586654091,0.00106107050224,0.1252357934449422,0.016652912049045,0.0064548455552935,5.894836123555765e-05,2.9474180617778827e-05,,0.0131454845555293,0.0035369016741334,0.0001768450837066,,0.0044800754539023,0.003861117660929,0.1012143362414524,0.0237267153973119,0.0453607639707616
BW_5__TRB.csv,before,0.0011587725288141,0.0038591263682827,0.0163780081527924,0.0011173877956421,0.0127258054503693,0.0010035797794193,,1.034618329298322e-05,0.0212303681172015,0.0108634924576323,0.0021416599416475,0.0034763175864423,0.0259482276988019,0.0075734061704637,0.0006414633641649,0.0164193928859643,0.0580627806402218,0.0446851656423945,0.1079934612121588,,0.0052455149295424,0.0027727771225195,,0.0224201791958946,0.12696836137149,0.076447948351853,0.0263931135804001,,0.0124981894179237,0.0140190783619922,0.0274587704595774,0.0097461046619901,0.1056966085211165,7.242328305088253e-05,0.0333974796697498,0.0050696298135617,0.0113290707058166,5.173091646491609e-05,0.0006828480973368,0.0232582200426262,0.0188507459598154,0.0021520061249405,0.0182713596954083,0.0124981894179237,0.0002069236658596,0.0001138080162228,7.242328305088253e-05,,0.0397810747615204,0.0047282057648933,0.0002793469489105,5.173091646491609e-05,0.0034142404866844,0.0007759637469737,0.0137190390464957,0.033262979286941,0.0130051523992799
BW_11__TRB.csv,before,0.0014862339420515,0.0063422458319231,0.0130082257898376,0.0012655061288756,0.0133025295407389,0.0036640816987212,,,0.0185117059316921,0.0154215165472283,0.0040466765748929,0.0060185117059316,0.0067101255205497,0.0112571184719749,0.0003384493135365,0.0131700928528334,0.0493694542136939,0.0883499860205718,0.0797416013067086,,0.0112424032844298,0.0041349677001633,,0.0153626557970481,0.0401577468104831,0.0847447650720308,0.0278999955854437,,0.0062098091440175,0.085465809261739,0.0110805362214341,,0.0460291066409641,2.9430375090130523e-05,0.0107126565328075,0.0037818031990817,0.0207925600011772,4.414556263519578e-05,0.0012949365039657,0.0217196168165163,0.010153479406095,0.0019276895684035,0.0250893947643362,0.0265167679562076,0.0001618670629957,5.8860750180261046e-05,0.000235443000721,,0.0642023632591197,0.0061362332062922,0.0002943037509013,1.4715187545065262e-05,0.0051797460158629,0.0008681960651588,0.0142001559809879,0.1076857424547875,0.0145680356696146
BW_12__TRB.csv,before,0.0006469942895721,0.0012236631128864,0.0187698669442178,0.0011322400067512,0.0195645447129314,0.0028692790233199,,1.4065093251568258e-05,0.0195997074460603,0.0146206644350052,0.0028411488368167,0.0033334271006216,0.0060339250049227,0.0059846971785422,0.0005766688233142,0.018340881600045,0.0423218655939688,0.0287138878730765,0.1979028945961911,,0.0098947931024782,0.0028622464766941,,0.0086500323497144,0.0325536583307547,0.1858069143998424,0.0524557652817238,,0.0107035359644434,0.0131578947368421,0.0123843146080058,0.0118779712509493,0.0398886044614475,3.516273312892064e-05,0.0136642380938985,0.0031716785282286,0.0118850037975751,3.516273312892064e-05,0.0013221187656474,0.0169414048215139,0.0155489605896087,0.0020605361613547,0.0223986610031224,0.0233058595178486,0.0001969113055219,0.0001828462122703,0.0003305296914118,,0.0464710681031815,0.007327913584067,0.0003375622380376,,0.0038257053644265,0.0013432164055247,0.010000281301865,0.0381164027117499,0.0167726237024951
BW_13__TRB.csv,before,0.0017727502954583,0.0140807023467837,0.0606280601046766,0.0009792334965389,0.0145196690866115,0.0011143001857166,,1.688333614722269e-05,0.0612527435421239,0.0204963700827283,0.0015026169171028,0.0035623839270639,0.0127975687995948,0.0251899375316562,0.0001857166976194,0.0119702853283808,0.0456694242782373,0.0293770048961674,0.0747087624514604,,0.0089819348303224,0.0075975012662502,,0.0966570994428499,0.0428330238055039,0.0483876413979402,0.0364848894141482,,0.0196353199392199,0.0175755529292588,0.0057741009623501,,0.0560020260003376,8.441668073611346e-05,0.0133209522201587,0.0030221171703528,0.0160391693398615,1.688333614722269e-05,0.0026000337666722,0.0176262029377004,0.0090325848387641,0.0033091338848556,0.0412797568799594,0.0112443018740503,0.0008779334796555,5.065000844166807e-05,0.0006753334458889,,0.0499746749957791,0.0086949181158196,0.000151950025325,,0.005993584332264,0.0010974168495694,0.0250042208340368,0.0394225899037649,0.0307276717879452
BW_15__TRB.csv,before,0.0015771072432925,0.0128258721593068,0.0609371437257733,0.0003800258417572,0.0115242836512882,0.0010165691267006,,1.900129208786197e-05,0.092925818955689,0.0239796306148818,0.001225583339667,0.0037337538952648,0.0107452306756859,0.0256802462567454,0.0001995135669225,0.0087025917762407,0.0427529071976894,0.0269058295964125,0.0779337994983658,,0.0075720148970129,0.0076195181272326,,0.1290092726305388,0.0316751539104659,0.0402732385802234,0.0674165843277342,,0.0130158850801854,0.013490917382382,0.0055673785817435,,0.0410902941400015,3.800258417572395e-05,0.007011476780421,0.0019286311469179,0.0085790833776696,9.500646043930989e-06,0.0013395910921942,0.0166166299308352,0.0076100174811887,0.0024891692635099,0.0534981378733753,0.0094151402295356,0.0005605381165919,3.800258417572395e-05,0.0002755187352739,,0.0464866610929543,0.0054058675989967,7.60051683514479e-05,1.900129208786197e-05,0.004816827544273,0.0006935471612069,0.0174051835524815,0.0306395834916774,0.0252527171847685
BW_17__TRB.csv,after,0.0026100782104421,0.0046779218630811,0.0126919648190866,0.0015439899273038,0.0159361817496714,0.0025916973779742,,2.757124870185371e-05,0.0390500785780588,0.0126000606567471,0.0018472736630241,0.0150447113749781,0.0106792636638513,0.0717587699546912,0.0007995662123537,0.0160280859120109,0.0598939425966602,0.0237939876296997,0.0707478241689566,,0.0182613570568611,0.003575071915007,,0.0210368627595143,0.0975011258259886,0.0386089385988291,0.0272863457986012,,0.0095396520508413,0.0280859120109549,0.0067457655157202,,0.0598296096830225,7.352332987160988e-05,0.0142083834976886,0.0074350467332665,0.0248325046641362,7.352332987160988e-05,0.0023619369721254,0.0538374582984863,0.0120302548502421,0.0023067944747217,0.0351809133435653,0.0162854175665615,0.0002297604058487,0.000183808324679,0.0001929987409129,,0.0369546636767179,0.0174526004282733,0.0003859974818259,1.838083246790247e-05,0.0136937201885873,0.0010477074506704,0.0183808324679024,0.0470916927827661,0.0229484693361762
BW_4__TRB.csv,after,0.0006675637053957,0.0017523547266639,0.0371749538442281,0.0009491921436096,0.0075309530514962,0.0010534989725777,,0.0001147375118649,0.0363404992124834,0.0118388250878785,0.0020965672622586,0.0031500662348363,0.0077291360265356,0.0061123801775302,0.0006467023396021,0.0210595487686578,0.0473135776199267,0.0198600202355248,0.0784804581155928,,0.0057890290077291,0.0027537002847576,,0.0351931240938344,0.036851602674427,0.1552711456019025,0.0222903693504813,,0.0080316258305431,0.0351096786306599,0.0131113684012892,0.0513293905351983,0.0243139218324623,2.0861365793618508e-05,0.0115050432351806,0.0029414525769002,0.0061123801775302,2.0861365793618508e-05,0.0022530275057107,0.0198704509184216,0.0259619697301582,0.0020339831648778,0.0899959320336702,0.0150306140543021,5.215341448404627e-05,8.344546317447403e-05,9.387614607128328e-05,,0.0451857183089776,0.0073849234909409,0.0006049796080149,1.0430682896809254e-05,0.0061019494946334,0.0007718705343638,0.0112859988943476,0.0448102137246925,0.0339518728291141
