sample,disease,IGL_reads
BW_1,cancer,6779.0
BW_2,cancer,46241.0
BW_5,cancer,77320.0
BW_8,cancer,22589.0
BW_11,cancer,100099.0
BW_12,cancer,50236.0
BW_13,cancer,83893.0
BW_15,cancer,64385.0
HL_W_XQF1225,healthy,35215.0
LFJ,healthy,27683.0
WDM,healthy,21351.0
WJW,healthy,2206.0
BF,healthy,3379.0
GH03_W_LXZ1225,healthy,39628.0
GH03_W_ZXM1225,healthy,28174.0
HL_W_LS0121,healthy,29986.0
iRNormal_XH,healthy,34175.0
