sample,disease,IGH_Simpson_evenness
BW_1,cancer,0.060158208
BW_2,cancer,0.0279673
BW_5,cancer,0.024066807
BW_8,cancer,0.095891112
BW_11,cancer,0.071834651
BW_12,cancer,0.058572036
BW_13,cancer,0.028548176
BW_15,cancer,0.071478052
HL_W_XQF1225,healthy,0.068696512
LFJ,healthy,0.087695977
WDM,healthy,0.034307522
WJW,healthy,0.681538774
BF,healthy,0.675149596
GH03_W_LXZ1225,healthy,0.233942758
GH03_W_ZXM1225,healthy,0.225852995
HL_W_LS0121,healthy,0.035111756
iRNormal_XH,healthy,0.068507673
