sample,disease,TRD_Largest_clone_percent
BW_1,cancer,59.75678204
BW_2,cancer,37.00707786
BW_5,cancer,28.26305221
BW_8,cancer,76.23066104
BW_11,cancer,28.45984378
BW_12,cancer,17.60752688
BW_13,cancer,49.27536232
BW_15,cancer,50.70014144
HL_W_XQF1225,healthy,11.9974337
LFJ,healthy,58.14276456
WDM,healthy,11.02385986
WJW,healthy,41.28529698
BF,healthy,22.54385965
GH03_W_LXZ1225,healthy,16.7858846
GH03_W_ZXM1225,healthy,9.877938517
HL_W_LS0121,healthy,12.24849982
iRNormal_XH,healthy,86.52447552
