sample,disease,IGH_Simpson
BW_1,cancer,0.998069357
BW_2,cancer,0.997224987
BW_5,cancer,0.997739828
BW_8,cancer,0.996956073
BW_11,cancer,0.998967219
BW_12,cancer,0.998823931
BW_13,cancer,0.997715631
BW_15,cancer,0.999332237
HL_W_XQF1225,healthy,0.999189444
LFJ,healthy,0.99857373
WDM,healthy,0.995241122
WJW,healthy,0.992475549
BF,healthy,0.995484289
GH03_W_LXZ1225,healthy,0.999784353
GH03_W_ZXM1225,healthy,0.999697833
HL_W_LS0121,healthy,0.998249186
iRNormal_XH,healthy,0.99884326
