sample,disease,IGHG12_observed_as_other_isotype
BW_1,cancer,0.037656904
BW_2,cancer,0.090813094
BW_5,cancer,0.120673813
BW_8,cancer,0.131519274
BW_11,cancer,0.10056619
BW_12,cancer,0.061688312
BW_13,cancer,0.118924509
BW_15,cancer,0.136516225
HL_W_XQF1225,healthy,0.091511138
LFJ,healthy,0.069400631
WDM,healthy,0.107142857
WJW,healthy,0.083333333
BF,healthy,0.0
GH03_W_LXZ1225,healthy,0.045912654
GH03_W_ZXM1225,healthy,0.047106326
HL_W_LS0121,healthy,0.110488391
iRNormal_XH,healthy,0.064581231
