feature,importance
TRB_Pielou_evenness,0.05146933799833505
TRA_percent_ucdr3,0.05034437078673163
IGK_percent_reads_all,0.04769581701447233
TRB_percent_ucdr3,0.04571137013067238
Aligned_TRB,0.03683796356059348
TRD_percent_reads_all,0.031735347490165974
TRA_percent_reads_all,0.03142222466865561
IGH_percent_reads_all,0.030521045483091994
TRG_percent_reads_all,0.03012210628035547
TRA_percent_reads,0.02931025015067141
TRB_Simpson,0.02835030183085807
TRB_reads,0.027260458549782797
TRB_Shannon,0.025284225590361975
TRB_Largest_clone_percent,0.025131948369196633
Aligned_IGK,0.025029428831052546
TRB_ucdr3,0.02491515514673505
TRB_Gini_index,0.024912873423133353
TRA_Pielou_evenness,0.024399427470759752
TRA_Simpson,0.024278816711110436
IGL_percent_reads_all,0.02412914595847087
Aligned_TRA,0.02380008700938628
TRB_Simpson_evenness,0.02378492976859762
TRB_d50,0.023490536379243143
TRB_percent_reads_all,0.02325623231943018
Aligned_IGH,0.023136461820311965
Aligned_TRG,0.022181913060596043
TRA_d50,0.021792522020530156
Aligned_IGL,0.02163474137415183
TRA_Gini_index,0.021349053852208758
TRB_percent_reads,0.02105776555047502
Aligned_TRD,0.02097177608584409
TRA_Simpson_evenness,0.020453760456490545
TRA_Largest_clone_percent,0.0201562292721218
total_ucdr3,0.020021567887523895
TRA_reads,0.018892216976893292
TRA_ucdr3,0.01873709828594331
TRA_Shannon,0.016421492435045423
