fpr,tpr,class,auc
0.0,0.0,experiment,0.5480631276901005
0.029411764705882353,0.0,experiment,0.5480631276901005
0.08823529411764706,0.0,experiment,0.5480631276901005
0.08823529411764706,0.0975609756097561,experiment,0.5480631276901005
0.17647058823529413,0.0975609756097561,experiment,0.5480631276901005
0.17647058823529413,0.12195121951219512,experiment,0.5480631276901005
0.20588235294117646,0.12195121951219512,experiment,0.5480631276901005
0.20588235294117646,0.17073170731707318,experiment,0.5480631276901005
0.23529411764705882,0.17073170731707318,experiment,0.5480631276901005
0.23529411764705882,0.1951219512195122,experiment,0.5480631276901005
0.29411764705882354,0.1951219512195122,experiment,0.5480631276901005
0.29411764705882354,0.21951219512195122,experiment,0.5480631276901005
0.3235294117647059,0.21951219512195122,experiment,0.5480631276901005
0.3235294117647059,0.4146341463414634,experiment,0.5480631276901005
0.35294117647058826,0.4146341463414634,experiment,0.5480631276901005
0.35294117647058826,0.43902439024390244,experiment,0.5480631276901005
0.38235294117647056,0.43902439024390244,experiment,0.5480631276901005
0.38235294117647056,0.4634146341463415,experiment,0.5480631276901005
0.4117647058823529,0.4634146341463415,experiment,0.5480631276901005
0.4117647058823529,0.4878048780487805,experiment,0.5480631276901005
0.47058823529411764,0.4878048780487805,experiment,0.5480631276901005
0.47058823529411764,0.5121951219512195,experiment,0.5480631276901005
0.5,0.5121951219512195,experiment,0.5480631276901005
0.5,0.5365853658536586,experiment,0.5480631276901005
0.5294117647058824,0.5365853658536586,experiment,0.5480631276901005
0.5294117647058824,0.6097560975609756,experiment,0.5480631276901005
0.5294117647058824,0.6585365853658537,experiment,0.5480631276901005
0.5294117647058824,0.7560975609756098,experiment,0.5480631276901005
0.6176470588235294,0.7560975609756098,experiment,0.5480631276901005
0.6176470588235294,0.7804878048780488,experiment,0.5480631276901005
0.6470588235294118,0.7804878048780488,experiment,0.5480631276901005
0.6470588235294118,0.8292682926829268,experiment,0.5480631276901005
0.6764705882352942,0.8292682926829268,experiment,0.5480631276901005
0.6764705882352942,0.8536585365853658,experiment,0.5480631276901005
0.7058823529411765,0.8536585365853658,experiment,0.5480631276901005
0.7058823529411765,0.8780487804878049,experiment,0.5480631276901005
0.8235294117647058,0.8780487804878049,experiment,0.5480631276901005
0.8235294117647058,0.9512195121951219,experiment,0.5480631276901005
0.9117647058823529,0.9512195121951219,experiment,0.5480631276901005
0.9117647058823529,1.0,experiment,0.5480631276901005
1.0,1.0,experiment,0.5480631276901005
