feature,importance
Aligned_TRG,0.08439751877734034
TRG_percent_reads_all,0.0751844252326317
IGK_percent_reads_all,0.053766115315291095
TRA_percent_reads,0.048049362956336765
Aligned_TRD,0.04802997541179717
Aligned_IGK,0.04660703454013266
TRA_percent_reads_all,0.04617120534007322
TRB_percent_reads,0.038144020371410015
TRB_Shannon,0.036102463377724825
TRB_percent_reads_all,0.0334966759579466
TRB_reads,0.0313475072947125
Aligned_TRB,0.02982151959079095
TRA_ucdr3,0.029642696669207845
TRD_percent_reads_all,0.02803342762351793
TRA_Shannon,0.024900071068815848
TRB_Simpson_evenness,0.02409955088185447
TRA_Gini_index,0.023249414020255033
TRB_Pielou_evenness,0.022453982907897047
TRB_percent_ucdr3,0.021551925226605526
TRA_Pielou_evenness,0.019682606957404588
IGH_percent_reads_all,0.019211188788202008
TRA_Simpson_evenness,0.018167780468861094
Aligned_IGL,0.016593984548880766
TRB_ucdr3,0.01623758238754748
TRB_Simpson,0.016115237894664517
total_ucdr3,0.015759795273038935
TRA_percent_ucdr3,0.015276372049193736
Aligned_TRA,0.014908368070973748
TRB_d50,0.013769296958440994
TRB_Gini_index,0.013254703292670646
TRA_reads,0.012316696287057824
Aligned_IGH,0.012138457443520122
IGL_percent_reads_all,0.011716675597740079
TRA_Simpson,0.010644194230516307
TRB_Largest_clone_percent,0.00992195593656484
TRA_d50,0.009822206120033396
TRA_Largest_clone_percent,0.00941400513034737
