sample,Category,TRAV14DV4,TRAV23DV6,TRAV29DV5,TRAV36DV7,TRAV38-2DV8,TRDV1,TRDV2,TRDV3
BW_1__TRD.csv,before,9.143275121148396e-05,9.143275121148396e-05,0.0013714912681722,0.0001828655024229,0.0011886257657492,0.0309042699094815,0.1731736307945506,0.7929962512572003
BW_2__TRD.csv,before,,0.000654022236756,0.0019620667102681,,0.001308044473512,0.9058207979071288,0.080117724002616,0.0101373446697187
BW_8__TRD.csv,before,0.0012690355329949,,0.0063451776649746,,0.0025380710659898,0.9035532994923858,0.0862944162436548,
BW_5__TRD.csv,before,0.0056925996204933,,0.0208728652751423,0.00426944971537,0.0033206831119544,0.717741935483871,0.2343453510436432,0.0137571157495256
BW_11__TRD.csv,before,0.0005741626794258,0.0001913875598086,0.0066985645933014,0.0005741626794258,0.0036363636363636,0.543732057416268,0.2355980861244019,0.2089952153110048
BW_12__TRD.csv,before,0.0042052144659377,0.0025231286795626,0.0067283431455004,0.0025231286795626,0.0088309503784693,0.4503784693019344,0.1761984861227922,0.3486122792262405
BW_13__TRD.csv,before,0.0005234231876472,0.0002617115938236,0.0327139492279507,0.0002617115938236,0.0023554043444124,0.8981941900026171,0.0573148390473698,0.0083747710023554
BW_15__TRD.csv,before,0.0001334311828674,,0.0336913736740276,,0.0012008806458069,0.9267462806057776,0.0314897591567149,0.0067382747348055
BW_17__TRD.csv,after,,0.0002063344681729,0.0028886825544207,0.0003095017022593,0.0220777880945011,0.3792427525018054,0.5850613845042815,0.0102135561745589
BW_4__TRD.csv,after,0.0032527881040892,0.0023234200743494,0.0125464684014869,,0.0139405204460966,0.4186802973977695,0.3183085501858736,0.2309479553903345
BW_9__TRD.csv,after,,,0.0197841726618705,0.0017985611510791,0.0107913669064748,0.4694244604316547,0.3597122302158273,0.1384892086330935
BW_6__TRD.csv,after,0.0007923930269413,,0.0063391442155309,0.0031695721077654,0.0055467511885895,0.4928684627575277,0.3732171156893819,0.118066561014263
BW_7__TRD.csv,after,0.0026761819803746,,0.0008920606601248,,0.0049063336306868,0.2957181088314005,0.427743086529884,0.2680642283675289
BW_16__TRD.csv,after,0.000475737392959,0.0002973358705994,0.0027354900095147,0.0008325404376784,0.0083848715509039,0.4740723120837298,0.3076236917221693,0.2055780209324453
BW_14__TRD.csv,after,,,0.0146341463414634,,0.0097560975609756,0.7804878048780488,0.1121951219512195,0.0829268292682926
BW_10__TRD.csv,after,0.0017519271198318,0.001051156271899,0.0115627189908899,0.0003503854239663,0.0056061667834618,0.6114225648213034,0.2119831814996496,0.1562718990889978
