sample,Category,IGHV1-14,IGHV1-17,IGHV1-18,IGHV1-2,IGHV1-24,IGHV1-3,IGHV1-45,IGHV1-46,IGHV1-58,IGHV1-67,IGHV1-68,IGHV1-69,IGHV1-69-2,IGHV1-69D,IGHV1-8,IGHV2-10,IGHV2-26,IGHV2-5,IGHV2-70,IGHV3-11,IGHV3-13,IGHV3-15,IGHV3-16,IGHV3-19,IGHV3-20,IGHV3-21,IGHV3-22,IGHV3-23,IGHV3-25,IGHV3-30,IGHV3-33,IGHV3-35,IGHV3-37,IGHV3-38,IGHV3-41,IGHV3-42,IGHV3-43,IGHV3-47,IGHV3-48,IGHV3-49,IGHV3-50,IGHV3-52,IGHV3-53,IGHV3-54,IGHV3-57,IGHV3-6,IGHV3-60,IGHV3-62,IGHV3-64,IGHV3-65,IGHV3-66,IGHV3-7,IGHV3-71,IGHV3-72,IGHV3-73,IGHV3-74,IGHV3-75,IGHV3-76,IGHV3-9,IGHV4-28,IGHV4-30-2,IGHV4-31,IGHV4-34,IGHV4-39,IGHV4-4,IGHV4-55,IGHV4-59,IGHV4-61,IGHV4-80,IGHV5-10-1,IGHV5-51,IGHV5-78,IGHV6-1,IGHV7-27,IGHV7-34-1,IGHV7-4-1,IGHV7-56,IGHV7-81
BW_1__IGH.csv,before,0.0001474056603773,0.0003685141509433,0.0588885613207547,0.0087706367924528,0.0106132075471698,0.0760613207547169,0.0008107311320754,0.0417895047169811,0.0050854952830188,,,0.0215212264150943,,0.0383991745283018,0.0455483490566037,0.0001474056603773,0.0099498820754716,0.0347877358490566,0.0171727594339622,0.0120872641509433,0.0032429245283018,0.0254274764150943,7.370283018867924e-05,0.000221108490566,0.002063679245283,0.0211527122641509,7.370283018867924e-05,0.0585200471698113,,0.0365566037735849,0.0202682783018867,7.370283018867924e-05,,0.000221108490566,7.370283018867924e-05,,0.0030955188679245,7.370283018867924e-05,0.0125294811320754,0.0089917452830188,,,0.025501179245283,,,,,,0.0013266509433962,,,0.0207104952830188,,0.0013266509433962,0.0022110849056603,0.0201208726415094,,,0.0276385613207547,0.0044221698113207,0.000221108490566,0.0438531839622641,0.0293337264150943,0.0836527122641509,0.000221108490566,0.0114976415094339,0.0532134433962264,0.008254716981132,,,0.0622788915094339,,0.0089917452830188,,,0.0204156839622641,,
BW_2__IGH.csv,before,1.3661575452881229e-05,0.0001502773299816,0.0503292439684144,0.037487363042706,0.0055875843602284,0.0236072023825787,0.0002322467826989,0.0558485204513784,0.0024864067324243,,,0.0404655864914341,0.005628569086587,0.0015437580261755,0.0199868848875652,6.830787726440613e-05,0.0016393890543457,0.0857946938440941,0.0036203174950135,0.005396322303888,0.0028279461187464,0.0195633760485259,2.732315090576245e-05,4.098472635864368e-05,0.0044673351730921,0.021394027159212,,0.0393043525779392,,0.04542473838083,0.016667122052515,2.732315090576245e-05,,0.0006147708953796,4.098472635864368e-05,,0.0029372387223694,,0.0075275280745375,0.0028416076941992,,5.464630181152491e-05,0.0174321702778764,,,,1.3661575452881229e-05,,0.0045083198994508,2.732315090576245e-05,0.0033470859859559,0.0074182354709145,0.000109292603623,0.0026230224869531,0.0018716358370447,0.0130331429820486,,,0.0180742643241618,0.0015984043279871,0.0055602612093226,0.1240471051121615,0.0187300199459001,0.0456706467389819,0.0147408399136588,0.0003142162354162,0.1321894040820787,0.0190169130304106,0.000218585207246,,0.034153938632203,,0.0154922265635673,,,0.0161479821853056,1.3661575452881229e-05,
BW_5__IGH.csv,before,6.682258603407952e-05,0.0001169395255596,0.058870698296024,0.061409956565319,0.0025141997995322,0.0001503508185766,0.0001837621115937,0.0503007016371533,0.0024473772134981,8.35282325425994e-06,,0.0372619445372535,,0.0168142332108252,0.0278149014366856,0.0002171734046107,0.005304042766455,0.0897260273972602,0.0106582024724356,0.0120698296024056,0.0007768125626461,0.0091463414634146,,8.35282325425994e-06,0.0041680588038757,0.0118526561977948,2.505846976277982e-05,0.0535833611760775,8.35282325425994e-06,0.035349148012028,8.35282325425994e-06,,,0.0001169395255596,1.670564650851988e-05,,0.0052539258269295,,0.010090210491146,0.0027146675576344,,1.670564650851988e-05,0.0072836618777146,,,1.670564650851988e-05,,,0.0019211493484797,1.670564650851988e-05,0.0025309054460407,0.010992315402606,,0.0009104577347143,0.0028566655529568,0.0066906114266622,,,0.0382475776812562,0.0003424657534246,,,0.0413548279318409,0.107584363514868,0.0586702305379218,1.670564650851988e-05,0.0872368860674908,0.0130136986301369,7.517540928833946e-05,8.35282325425994e-06,0.0838122285332442,,0.0051035750083528,,,0.0222435683260942,,
BW_8__IGH.csv,before,,7.190623427051126e-05,0.0352340547925505,0.0030919680736319,0.0017976558567627,0.0332206802329761,,0.0444380527791759,0.0007909685769756,,,0.0056086862730998,,0.0785216078233982,0.0030919680736319,,0.0033076867764435,0.0399798662544042,0.0140936219170202,0.0096354353922485,0.0028762493708204,0.0128712159344215,,0.000143812468541,0.000143812468541,0.0176889336305457,,0.0665851729344934,,0.0268210253829007,0.0127274034658804,,,0.0022290932623858,7.190623427051126e-05,,0.0472423959157258,,0.0087725605810023,0.0201337455957431,,,0.0324297116560005,,,,,,0.0086287481124613,7.190623427051126e-05,0.0041705615876896,0.0144531530883727,0.000143812468541,0.0018695620910332,0.0031638743079024,0.0397641475515927,,,0.013374559574315,0.003667217947796,0.0006471561084346,0.0214280578126123,0.0209966204069892,0.0587473933990077,0.000575249874164,0.0137340907456676,0.089451355432516,0.0358812109009851,7.190623427051126e-05,0.0529229884230962,0.0705400158193715,,0.0087006543467318,,,0.013374559574315,,
BW_15__IGH.csv,before,1.9426528867821895e-05,0.000213691817546,0.0728689097831999,0.0011655917320693,0.0058765249825161,0.0269737353329707,0.0003302509907529,0.0303636646204056,0.0022631906131012,9.713264433910947e-06,,0.0228455979485585,0.0051577434144067,0.0008936203279198,0.0143076385111508,4.856632216955474e-05,0.003487061931774,0.0404848861605408,0.0051674566788406,0.0104126194731525,0.003049965032248,0.033918719403217,3.88530577356438e-05,0.0001165591732069,0.0011655917320693,0.0205726940710233,9.713264433910947e-06,0.0669438184785142,,0.0630196596472142,0.0250505089750563,6.799285103737665e-05,,0.0006702152459398,3.88530577356438e-05,,0.0053811484963866,9.713264433910947e-06,0.0125592509130468,0.005993084155723,,9.713264433910947e-06,0.0201938767581008,,,3.88530577356438e-05,3.88530577356438e-05,9.713264433910947e-06,0.0043903955241277,8.741937990519854e-05,0.003807599658093,0.0420778615277022,0.0009033335923537,0.0027391405703628,0.006643872872795,0.0339575724609526,,,0.0357156733234905,0.0024963089595151,0.0041767037065817,0.0505284015852047,0.0226124796021446,0.0672546429403994,0.0009421866500893,0.0001165591732069,0.0895271582873572,0.0304413707358769,,9.713264433910947e-06,0.0275565311990053,,0.0131323335146476,9.713264433910947e-06,,0.0590372212293107,,4.856632216955474e-05
BW_11__IGH.csv,before,1.3833076268666007e-05,0.0002420788347016,0.0658731091913875,0.0466797158686134,0.0162953638444885,0.0165789419079962,4.149922880599802e-05,0.0468664623982404,0.0079747684688859,4.841576694033102e-05,0.0001037480720149,0.0022340418173895,6.916538134333004e-06,0.0443557590554775,0.0043435859483611,,0.0027389491011958,0.02068736555979,0.0252107814996437,0.0092128287949315,0.0019504637538819,0.0158734550182942,,9.683153388066205e-05,0.0037349305925398,0.0227623270000899,,0.0986505834099916,,0.0595721429510101,0.0114676202267241,2.074961440299901e-05,,0.0013072257073889,6.916538134333003e-05,,0.0009060664955976,,0.0098284006888871,0.0041845055712714,,4.841576694033102e-05,0.0220291739578506,,,6.916538134333004e-06,4.149922880599802e-05,6.224884320899703e-05,0.0085419245959012,,0.0006155718939556,0.0173743437934445,0.0002213292202986,0.0056992274226903,0.0034098533002261,0.019483887924416,6.916538134333004e-06,,0.0252661138047184,0.005526313969332,0.0206804490216556,0.0376398005270402,0.033192466506664,0.0521991132998111,0.0382415393447271,6.224884320899703e-05,0.0468941285507777,0.0335106272608434,4.149922880599802e-05,0.0189720641024754,0.0399360911876387,2.074961440299901e-05,0.012442852103665,,,0.0178861676153851,6.916538134333004e-06,6.916538134333004e-06
BW_12__IGH.csv,before,0.000118976799524,0.0001869635421092,0.0386334664740375,0.069074530466559,0.0086853063652587,0.018594374097051,1.699668564629897e-05,0.0383615195036967,0.0020735956488484,1.699668564629897e-05,,0.0184584006118806,,0.0130024645194187,0.0312569049035438,3.399337129259794e-05,0.0032123735871505,0.0259029489249596,0.011370782697374,0.0177105464434435,0.0021925724483725,0.0280105379451007,,1.699668564629897e-05,0.0044701283249766,0.0216197841420922,1.699668564629897e-05,0.0768930058638565,,0.0603552307300076,0.0219767145406645,,,0.0006458740545593,8.498342823149486e-05,,0.0008328375966686,,0.0162828248491544,0.0030084133593949,,1.699668564629897e-05,0.0283504716580266,,,5.0990056938896914e-05,,1.699668564629897e-05,0.0001019801138777,,0.0012747514234724,0.0646553921985212,8.498342823149486e-05,0.0068156709441658,0.0072065947140307,0.0257329820684966,,,0.0341803348347072,0.0038072575847709,0.0075465284269567,0.0430186113707826,0.0273986572618339,0.0541344437834622,0.0313078949604827,0.0147361264553412,0.0383105294467578,0.0149230899974504,,,0.0288603722274156,,0.0117447097815925,,,0.0226055919095776,,
BW_13__IGH.csv,before,3.012388447490304e-05,0.0001958052490868,0.0636592988665888,0.0025228753247731,0.0049779719094777,0.0345596264638325,2.259291335617728e-05,0.0294611590164551,0.0009263094476032,1.506194223745152e-05,2.259291335617728e-05,0.0331287419512746,0.0035470873969198,0.0011673005234024,0.0198742327823172,1.506194223745152e-05,0.0035320254546823,0.029272884738487,0.006807997891328,0.0079677674436118,0.0035395564258011,0.0247994878939639,,3.012388447490304e-05,0.0009940881876718,0.0187973039123394,7.53097111872576e-06,0.0811913996309824,,0.0372029973265052,0.0269533456339194,,,0.0001882742779681,0.0001129645667808,,0.0035546183680385,7.53097111872576e-06,0.0078397409345935,0.005188839100802,,2.259291335617728e-05,0.0205896750385962,,,7.53097111872576e-06,7.53097111872576e-06,,0.0044432729600481,5.271679783108032e-05,0.0021915125955491,0.083179576006326,0.000436796324886,0.014278721241104,0.0116730052340249,0.0506759046579056,,,0.0292879466807244,0.0004292653537673,0.0024174417291109,0.0412546597883797,0.0348909891930564,0.0847836728546146,0.0021990435666679,8.284068230598336e-05,0.0686222088338291,0.0280152125616598,1.506194223745152e-05,,0.0214783296306058,,0.009142598938133,,7.53097111872576e-06,0.0375946078246789,,0.0001054335956621
BW_4__IGH.csv,after,1.1930611563148727e-05,0.0002028203965735,0.0970197332315254,0.0331671001455534,0.011393734042807,0.0164165215108926,0.0008947958672361,0.0359588632513302,0.0025412202629506,1.1930611563148727e-05,,0.0495716910448829,,0.0021833019160562,0.0111670524231072,,0.0022906774201245,0.0174306234937602,0.0154740031974038,0.0063351547400319,0.0019685509079195,0.0106182442912023,,1.1930611563148727e-05,0.0117397217781383,0.0175260683862654,1.1930611563148727e-05,0.0503471807964876,,0.0385000835142809,0.0101410198286764,,,8.351428094204109e-05,5.9653057815743634e-05,,0.007945787301057,,0.0072538118303944,0.00473645279057,,1.1930611563148727e-05,0.0106421055143286,,,1.1930611563148727e-05,1.1930611563148727e-05,1.1930611563148727e-05,0.0061681261781478,4.772244625259491e-05,0.0029826528907871,0.0075282158963468,4.772244625259491e-05,0.0043427426089861,0.0039251712042759,0.017168150039371,,,0.0103915626715025,0.0033286406261184,0.0075282158963468,0.046290772865017,0.0291942064950249,0.1149872342456274,0.0224295497387196,0.0003101959006418,0.0908038846071249,0.0382018182252022,1.1930611563148727e-05,0.0375575652007921,0.0535803765301009,,0.0126941707031902,,,0.0167625092462239,,1.1930611563148727e-05
BW_17__IGH.csv,after,5.6181353408803615e-05,0.0001966347369308,0.0546925475434703,0.0709570493553189,0.0080620242141633,0.0001685440602264,,0.0299446613668923,0.0014888058653332,2.8090676704401807e-05,,0.0128374392539116,,0.03216382482654,0.0119666282760751,2.8090676704401807e-05,0.0020506193994213,0.0555914491980111,0.0189331160987668,0.010000280906767,0.0071631225596224,0.0121632630130059,,2.8090676704401807e-05,0.000561813534088,0.0200848338436472,5.6181353408803615e-05,0.0522486586701873,,0.069215427399646,0.0221354532430686,2.8090676704401807e-05,,0.0039046040619118,,,0.0038203320317986,,0.009438467372679,0.0029214303772577,,,0.0180061237675215,,,,,,0.0028652490238489,0.0001123627068176,0.0001685440602264,0.0203376499339869,5.6181353408803615e-05,0.0023315261664653,0.0044945082727042,0.0144105171493581,,,0.026152420011798,0.0025281609033961,0.0120228096294839,0.066069271608753,0.0485687800219107,0.1041602292199219,0.0351414365572066,8.427203011320542e-05,0.044186634456024,0.0036236972948678,,0.0081462962442765,0.054186915362791,,0.0193825669260372,2.8090676704401807e-05,,,,
BW_9__IGH.csv,after,,,0.0660402329274748,0.0799364743250397,0.0093965060878771,0.0017204870301746,0.0001323451561672,0.0430121757543673,0.0113816834303864,,,0.0133668607728957,,0.0668343038644785,0.0513499205929063,,0.0034409740603493,0.0075436739015352,0.0128374801482265,0.0066172578083642,0.0055584965590259,0.0152196929592376,,,0.0129698253043938,0.0210428798305982,,0.1225516146109052,,0.0588935944944415,0.019587083112758,,,0.0006617257808364,0.0003970354685018,,0.0038380095288512,,0.0134992059290629,0.0031762837480148,,,0.022366331392271,,,0.0001323451561672,,,0.0022498676548438,0.0003970354685018,0.0001323451561672,0.0193223928004235,0.0002646903123345,0.0063525674960296,0.0029115934356802,0.0146903123345685,,,0.0269984118581259,0.0021175224986765,0.0039703546850185,0.0144256220222339,0.0104552673372154,0.0550555849655902,0.0219692959237691,,0.059158284806776,0.0084700899947061,0.0001323451561672,,0.0722604552673372,,0.0050291159343568,,,0.0001323451561672,,
BW_6__IGH.csv,after,0.00015223017202,,0.0601309179479372,0.0612726442380879,0.0066981275688841,0.0004566905160602,7.611508601004719e-05,0.0350890546506317,0.0070787029989343,,,0.021007763738773,,0.0392753843811843,0.0260313594154361,7.611508601004719e-05,0.0025117978383315,0.0216927995128634,0.0204749581367026,0.012939564621708,0.0070787029989343,0.0166692038362003,,,0.0085248896331252,0.0305221494900289,7.611508601004719e-05,0.0723854467955548,,0.0448317856599177,0.01621251332014,0.0003044603440401,,0.0002283452580301,7.611508601004719e-05,,0.0038057543005023,,0.0191810016745318,0.0057086314507535,,,0.0376008524889633,,,,,,0.0024356827523215,,0.001750646978231,0.0276297762216471,7.611508601004719e-05,0.0022073374942913,0.0030446034404018,0.0192571167605419,,,0.0319683361242198,0.0011417262901507,0.0076876236870147,0.0185720809864515,0.0229106408890242,0.0586086162277363,0.0343279037905312,,0.0643172476784898,0.0076115086010047,0.0002283452580301,,0.0850966661592327,,0.0328817171563403,,,,,7.611508601004719e-05
BW_7__IGH.csv,after,,0.000219298245614,0.0398026315789473,0.0485745614035087,0.0028508771929824,0.0194078947368421,0.000109649122807,0.0456140350877193,0.0006578947368421,,,0.0074561403508771,,0.000328947368421,0.0197368421052631,,0.0029605263157894,0.018969298245614,,0.0024122807017543,0.0057017543859649,0.0158991228070175,,0.000109649122807,0.0017543859649122,0.0185307017543859,,0.081578947368421,,0.0222587719298245,0.0275219298245614,,,0.0012061403508771,,,0.0050438596491228,,0.0165570175438596,0.0019736842105263,,0.000109649122807,0.0137061403508771,,,,,,0.0028508771929824,0.000548245614035,0.0101973684210526,0.0356359649122807,,0.0027412280701754,0.0035087719298245,0.0208333333333333,,,0.0225877192982456,0.0024122807017543,,0.0182017543859649,0.0320175438596491,0.0898026315789473,0.0142543859649122,0.000109649122807,0.0546052631578947,0.025,,,0.1077850877192982,,0.0133771929824561,,,0.1224780701754386,,
BW_14__IGH.csv,after,1.0080543542907831e-05,3.02416306287235e-05,0.020342536869588,0.0427011824477575,0.0109373897440549,0.014546224332416,,0.0315823429199302,0.0021269946875535,,,0.0058265541678007,1.0080543542907831e-05,0.0006753964173748,1.0080543542907831e-05,,0.0021269946875535,0.0045362445943085,0.0006753964173748,0.0098083688672493,0.002620941321156,0.0085684620114716,,3.02416306287235e-05,0.0015927258797794,0.005574540579228,,0.0100704629993649,,0.1103013074464975,0.0133970423685245,1.0080543542907831e-05,,0.0008770072882329,8.064434834326266e-05,,0.010493845828167,,0.0047479360087095,0.0121772965998326,,0.0003427384804588,0.0118547192064596,,,,,,0.0098083688672493,1.0080543542907831e-05,0.0110885978971986,0.0105341680023386,1.0080543542907831e-05,0.0037298011108758,0.0048386609005957,0.0170260380439713,,,,0.0057358292759145,0.014647029767845,0.1863086057600226,0.0066531587383191,0.2009556355278676,0.006885011239806,0.0110079535488553,0.0973679700809467,0.0192941603411255,,0.0162397556476245,0.0267739236499632,,0.0123789074706908,,,2.0161087085815663e-05,,
BW_16__IGH.csv,after,9.277298450691158e-05,0.0001752378596241,0.0491799898980528,0.0384595561328096,0.0154930884126542,0.0188226077455133,9.277298450691158e-05,0.0315325066229602,0.0025976435661935,2.0616218779313686e-05,1.0308109389656843e-05,0.0326663986558225,1.0308109389656843e-05,0.0011338920328622,0.0119574068920019,9.277298450691158e-05,0.0026182597849728,0.0306563173248394,0.0251930193483213,0.013575780066178,0.0076692333859046,0.017090845368051,,,0.0018348434713589,0.0192555483398789,3.092432816897053e-05,0.0765274041088124,,0.0831555184463617,0.0281308305243735,1.0308109389656843e-05,,0.0012163569079795,3.092432816897053e-05,,0.0049375843976456,0.0001855459690138,0.0165857480079578,0.0032882868953005,,,0.0202245106225067,,,1.0308109389656843e-05,,,0.0088237416375462,6.184865633794106e-05,0.000329859500469,0.0163177371638267,0.0001030810938965,0.0047108059910731,0.0041232437558627,0.0125965096741606,,,0.0190287699333065,0.0028450381915452,0.0034944490830936,0.0554060879694055,0.0382637020544062,0.0513137685417117,0.0214924080774345,0.0001133892032862,0.0953809361824947,0.0072775252290977,3.092432816897053e-05,0.0141839585201678,0.0545298986712847,,0.014266423395285,,1.0308109389656843e-05,0.0207296079825999,,
BW_10__IGH.csv,after,,4.0445711743412406e-05,0.0828429290784444,0.0522053024328095,0.0032255455115371,9.10028514226779e-05,0.0001112257072943,0.016036724706263,0.0011729256405589,,2.0222855871706203e-05,0.0100507593682379,,0.0182612388521507,0.0160872818459422,6.0668567615118606e-05,0.0021840684341442,0.0240753099152662,0.0144391190923982,0.0076846852312483,0.0066836538655989,0.018099456005177,,1.0111427935853102e-05,0.0140751076867075,0.0179781188699468,,0.0942486197900867,,0.0306881837853141,0.0191510445105057,,,0.000475237112985,,,0.0015571599021213,,0.0170883132115917,0.0050860482517341,,2.0222855871706203e-05,0.038544763291472,,,1.0111427935853102e-05,2.0222855871706203e-05,,0.0015268256183138,4.0445711743412406e-05,0.0004853485409209,0.0217901272017634,,0.0015369370462496,0.0037007826245222,0.0230843899775526,,,0.0230034985540658,0.0015167141903779,0.0144087848085906,0.0568262249994944,0.0328014722239074,0.0601427733624542,0.0328115836518433,2.0222855871706203e-05,0.1147343727881251,0.0198790673218871,2.0222855871706203e-05,,0.0700418613116544,,0.0093025137009848,,,,,
