sample,Category,IGLV1-36,IGLV1-40,IGLV1-41,IGLV1-44,IGLV1-47,IGLV1-50,IGLV1-51,IGLV1-62,IGLV10-54,IGLV2-11,IGLV2-14,IGLV2-18,IGLV2-23,IGLV2-28,IGLV2-33,IGLV2-34,IGLV2-5,IGLV2-8,IGLV3-1,IGLV3-10,IGLV3-12,IGLV3-13,IGLV3-16,IGLV3-19,IGLV3-2,IGLV3-21,IGLV3-22,IGLV3-25,IGLV3-26,IGLV3-27,IGLV3-32,IGLV3-6,IGLV3-9,IGLV4-3,IGLV4-60,IGLV4-69,IGLV5-37,IGLV5-45,IGLV5-48,IGLV5-52,IGLV6-57,IGLV7-35,IGLV7-43,IGLV7-46,IGLV8-61,IGLV9-49,IGLVI-70
BW_15__IGL.csv,before,0.0075099222450093,0.0739926523746993,0.0003393481564542,0.0729893621730085,0.0419168744559363,0.0002803310857665,0.1888841347359723,,0.0008705017926435,0.0624843235905985,0.1569411452262566,0.006786963129085,0.0322823376661699,,,,0.0007377133835962,0.069389320861059,0.0401758708706493,0.0183248004485297,8.852560603154462e-05,,0.0018737919943343,0.0477448101863464,,0.0408250586482139,0.0001327884090473,0.045280847485135,,0.0064623692403027,,0.0002360682827507,0.0027000309839621,0.0002065597474069,0.0061672838868642,0.0197412101450344,0.0010770615400504,0.0020508432063974,5.901707068769641e-05,0.0004426280301577,0.0288445932986116,0.0002508225504227,0.0052230107558611,0.0076574649217286,0.0064328607049589,0.0024934712365551,0.0001032798737034
BW_1__IGL.csv,before,0.0046321525885558,0.085967302452316,0.0021798365122615,0.0626702997275204,0.0407356948228882,0.000408719346049,0.1310626702997275,,0.0061307901907356,0.026566757493188,0.1216621253405994,0.0034059945504087,0.0291553133514986,,,,0.003542234332425,0.0249318801089918,0.030108991825613,0.0110354223433242,0.0009536784741144,,0.0038147138964577,0.1108991825613079,,0.1001362397820163,0.000817438692098,0.0656675749318801,,0.0042234332425068,,0.0001362397820163,0.0028610354223433,0.0010899182561307,0.0029972752043596,0.0224795640326975,0.0074931880108991,0.0134877384196185,0.0010899182561307,0.0019073569482288,0.0185286103542234,0.0001362397820163,0.0217983651226158,0.0129427792915531,0.0163487738419618,0.0057220708446866,0.0002724795640326
BW_2__IGL.csv,before,0.0047021294224873,0.1425138785317756,0.0002485707183693,0.0892576021211368,0.0530905625983925,0.0001657138122462,0.1278274919214516,,0.0020092799734857,0.0417598806860551,0.1149846714723672,0.0114342530449913,0.0304499130002485,,,,0.0008699975142928,0.0596362581821194,0.0270113513961388,0.009093545447013,6.214267959234402e-05,,0.001988565746955,0.0363327533349904,,0.044328444775872,0.0004764272102079,0.0451570138371033,,0.0031692766592095,,0.0002278564918385,0.003500704283702,0.0002692849449001,0.0030035628469632,0.0374720357941834,0.0027549921285939,0.0070428370204656,0.000186428038777,0.0066492667163808,0.0741155025271356,2.071422653078134e-05,0.0045985582898334,0.0085549755572126,0.0002071422653078,0.0047849863286104,4.142845306156268e-05
BW_5__IGL.csv,before,0.0064558662553487,0.0952706736988755,0.0001368295352771,0.0393198328191859,0.0395188575977709,6.219524330779183e-05,0.0979699472584336,,0.0258856602647029,0.0288088367001691,0.0598940193054035,0.0023509801970345,0.0424793511792218,2.4878097323116727e-05,,,0.0005100009951238,0.1615708030649816,0.0153871031943476,0.0128744153647129,6.219524330779183e-05,,0.0008209772116628,0.0218678475470196,,0.0952582346502139,1.2439048661558363e-05,0.1288561050850831,,0.003209274554682,,1.2439048661558363e-05,0.0019778087371877,0.0008085381630012,0.0278012737585829,0.0166807642551497,0.0011195143795402,0.0228754104886058,0.000111951437954,0.0006965867250472,0.0162951537466414,,0.003209274554682,0.0024753706836501,0.0226141904667131,0.0043039108368991,0.0004104886058314
BW_8__IGL.csv,before,0.0008124866367329,0.2812486636732949,0.000384862091084,0.0256574727389352,0.0665811417575368,0.0002993371819542,0.056617489843917,,0.0164635450074834,0.0373316228351507,0.1191361984177891,0.0053880692751763,0.057002351935001,,,,0.0009835364549925,0.0198417789181098,0.0500748342954885,0.0369039982895018,0.0007269617276031,,0.0001710498182595,0.0508873209322215,,0.0124866367329484,4.276245456489202e-05,0.0268120590121873,,0.0368612358349369,,0.0004703870002138,0.0004703870002138,0.0004276245456489,0.0010262989095574,0.0063716057301689,0.000384862091084,0.0016249732734658,0.0001282873636946,0.0025229848193286,0.0423348300192431,,0.0038913833654051,0.0056446440025657,0.0296343810134701,0.0023091725465041,4.276245456489202e-05
BW_11__IGL.csv,before,0.0020746690522188,0.0844809044795721,0.0002474375933838,0.0746024344052456,0.0501632136433282,0.000323572237502,0.1626616671583695,,0.0791800298828478,0.0324333583943203,0.094987485367873,0.0090600226500566,0.0274846065266423,9.516830514765363e-06,,,0.0005519761698563,0.0462898636238187,0.0388477021612722,0.016911407824738,7.61346441181229e-05,,0.0003711563900758,0.0516668728646611,,0.0512481323220114,9.516830514765363e-06,0.0602225034974352,,0.0060336705463612,,2.8550491544296087e-05,0.0022554888319993,0.0001903366102953,0.0092789097518962,0.0241632326769892,0.0023601739676618,0.0032262055445054,0.0001046851356624,0.0010183008650798,0.0333184236321935,,0.0042920905621591,0.0101163908371955,0.0135519666530258,0.006043187376876,0.0001142019661771
BW_12__IGL.csv,before,0.0021408408010154,0.0790216546994297,0.0002841824072144,0.0648314798325218,0.0570259363810317,0.0001705094443286,0.1063410567796449,,0.0435556902790671,0.0529147642233294,0.1237898565826118,0.0068203777731466,0.0328514862739897,,,,0.0007957107402004,0.0886649110509065,0.0380993880605498,0.0103252941287914,9.472746907148135e-05,,0.0028607695659587,0.0783775079097436,,0.0243260140575564,0.0001515639505143,0.0501487221264422,1.894549381429627e-05,0.0069908872174753,,5.683648144288881e-05,0.0082791807968474,0.0003789098762859,0.0071992876494325,0.025519580167857,0.0005683648144288,0.0113104598071348,5.683648144288881e-05,0.0005304738268002,0.0330219957183183,3.789098762859254e-05,0.0091885644999336,0.0068203777731466,0.0248564878843567,0.0015156395051437,5.683648144288881e-05
BW_13__IGL.csv,before,0.0028784999943112,0.0624054247778548,0.0002844367583311,0.0800860136757193,0.0735439682341028,0.0002389268769981,0.1538575313164871,,0.001251521736657,0.0834309899536936,0.1396470708702627,0.0066899525559487,0.028944284527778,,,,0.0004892312243295,0.0845801144573515,0.0484452686789619,0.0179308932451958,0.0001706620549986,,0.0012628992069903,0.0382169228493736,,0.0313790631790927,0.0005006086946628,0.0339503714744063,,0.0038114525616374,,0.0006712707496615,0.0028102351723117,0.0001365296439989,0.0070654090769458,0.0223112193234956,0.0001820395253319,0.0067013300262819,2.275494066649221e-05,0.0003982114616636,0.0265436382874631,1.1377470333246106e-05,0.0062462312129521,0.018169820122194,0.0112409406892471,0.0034359960406403,5.688735166623053e-05
BW_17__IGL.csv,after,0.0016982963122708,0.0559629070519732,0.0006469700237222,0.055315937028251,0.0447218028897994,5.391416864351952e-05,0.1293400905758033,,0.0188969161095535,0.0710319171878369,0.2233664006901013,0.0027765796851412,0.0219161095535906,,,,0.0019139529868449,0.0370120767737761,0.0448565883114082,0.0072514556825533,0.000215656674574,2.695708432175976e-05,0.002803536769463,0.1074239810222126,,0.027819711020056,5.391416864351952e-05,0.0279275393573431,,0.0013208971317662,,8.087125296527928e-05,0.0012939400474444,0.0005121846021134,0.0033965926245417,0.0232909208540004,0.0012130687944791,0.0040705197325857,8.087125296527928e-05,0.0008356696139745,0.0544533103299547,,0.0046905326719861,0.0062270864783265,0.0137481130040974,0.0016982963122708,5.391416864351952e-05
BW_16__IGL.csv,after,0.0049317083772171,0.0826019359045087,0.0003343531103198,0.0827189594931206,0.0451711052042061,0.0003343531103198,0.10828025477707,,0.0036611665580019,0.0591637828710901,0.1006570038617784,0.0043800257451894,0.0234381530334185,,,,0.0014377183743751,0.1211528495243827,0.043549492619155,0.0210475282946319,5.015296654797132e-05,,0.0021231422505307,0.0521256498988581,,0.0466422588896133,0.0004346590434157,0.0495845662604276,,0.0040456726348696,1.6717655515990436e-05,0.0001003059330959,0.0037447548355818,0.0003510707658357,0.0422455154889078,0.0237725061437384,0.0011702358861193,0.0141932895330758,0.0006519885651236,0.0035107076583579,0.0217496698263035,3.343531103198087e-05,0.0067204975174281,0.0058010264640486,0.0149121487202634,0.0030091779928782,0.0001504588996439
