fpr,tpr,class,auc
0.0,0.0,before,0.5251366120218579
0.0,0.013333333333333334,before,0.5251366120218579
0.01639344262295082,0.013333333333333334,before,0.5251366120218579
0.01639344262295082,0.04,before,0.5251366120218579
0.03278688524590164,0.04,before,0.5251366120218579
0.03278688524590164,0.12,before,0.5251366120218579
0.08196721311475409,0.12,before,0.5251366120218579
0.08196721311475409,0.16,before,0.5251366120218579
0.09836065573770492,0.16,before,0.5251366120218579
0.09836065573770492,0.18666666666666668,before,0.5251366120218579
0.11475409836065574,0.18666666666666668,before,0.5251366120218579
0.11475409836065574,0.25333333333333335,before,0.5251366120218579
0.13114754098360656,0.25333333333333335,before,0.5251366120218579
0.13114754098360656,0.26666666666666666,before,0.5251366120218579
0.14754098360655737,0.26666666666666666,before,0.5251366120218579
0.14754098360655737,0.28,before,0.5251366120218579
0.16393442622950818,0.28,before,0.5251366120218579
0.16393442622950818,0.30666666666666664,before,0.5251366120218579
0.21311475409836064,0.30666666666666664,before,0.5251366120218579
0.21311475409836064,0.32,before,0.5251366120218579
0.22950819672131148,0.32,before,0.5251366120218579
0.22950819672131148,0.3333333333333333,before,0.5251366120218579
0.26229508196721313,0.3333333333333333,before,0.5251366120218579
0.4918032786885246,0.49333333333333335,before,0.5251366120218579
0.5901639344262295,0.56,before,0.5251366120218579
0.5901639344262295,0.5733333333333334,before,0.5251366120218579
0.6721311475409836,0.64,before,0.5251366120218579
0.6721311475409836,0.6666666666666666,before,0.5251366120218579
0.7377049180327869,0.7333333333333333,before,0.5251366120218579
0.7704918032786885,0.7333333333333333,before,0.5251366120218579
0.8360655737704918,0.8133333333333334,before,0.5251366120218579
0.9180327868852459,0.92,before,0.5251366120218579
0.9344262295081968,0.92,before,0.5251366120218579
0.9344262295081968,0.9866666666666667,before,0.5251366120218579
0.9672131147540983,0.9866666666666667,before,0.5251366120218579
0.9672131147540983,1.0,before,0.5251366120218579
1.0,1.0,before,0.5251366120218579
