sample,Category,TRBJ1-1,TRBJ1-2,TRBJ1-3,TRBJ1-4,TRBJ1-5,TRBJ1-6,TRBJ2-1,TRBJ2-2,TRBJ2-3,TRBJ2-4,TRBJ2-5,TRBJ2-6,TRBJ2-7
BW_11__TRB.csv,cancer,0.116264968925269,0.0837177071829186,0.0185149093743909,0.0350592260551332,0.0730202039888261,0.0233872539465991,0.1641438749215011,0.0421836765629398,0.139587258277572,0.015353299118647,0.1101799519262002,0.0244266874553368,0.1541609822646657
BW_1__TRB.csv,cancer,0.0977860627819202,0.0831722360305624,0.0181809813127128,0.0281229862837153,0.0642778238055785,0.0115990057995029,0.2601031022737733,0.034313725490196,0.1137807235570284,0.0125655896161281,0.0749562735892479,0.021725121973672,0.1794163674859615
BW_2__TRB.csv,cancer,0.1268468468468468,0.0999399399399399,0.0256756756756756,0.0327027027027027,0.0911711711711711,0.0324924924924924,0.1853453453453453,0.0384384384384384,0.1018618618618618,0.0136636636636636,0.0739039039039039,0.0143243243243243,0.1636336336336336
BW_8__TRB.csv,cancer,0.075631583115546,0.0544864179931892,0.0095826403738021,0.0132256276233467,0.1591827037301021,0.0144927536231884,0.1711412053536073,0.0433990654945751,0.0870357171141205,0.0116417201235447,0.1320978854834877,0.0133840183733269,0.2146986615981626
BW_5__TRB.csv,cancer,0.1220235859686021,0.0906444828363254,0.0175392473522121,0.0215015398482686,0.0753398933373394,0.0198490197551265,0.2273529632689852,0.0368812438969428,0.1217982423195373,0.015605047697739,0.0729550063847367,0.0261961992037857,0.1523135281303988
BW_15__TRB.csv,cancer,0.0837938592383057,0.0668402615162698,0.0115584196624267,0.023191772353459,0.1113692137651973,0.0289990820703995,0.2064592270658099,0.0363799853880594,0.0967010734156347,0.0130570802345403,0.0915119611846911,0.0164290665217961,0.2137089975834098
BW_12__TRB.csv,cancer,0.1154546442741453,0.0904532855046469,0.0191994130115767,0.0353008315669329,0.0809826621012011,0.0312652861568563,0.1553752921354421,0.0663487146040545,0.1189330941899016,0.0141855535626936,0.097681939235828,0.0141855535626936,0.1606337300940268
BW_13__TRB.csv,cancer,0.0908916525464369,0.0631733751078998,0.011924933661562,0.0259279388727261,0.0985005914511333,0.0265673455033728,0.2010933853384059,0.0526551360337606,0.1035519038332427,0.0168163943860097,0.089676779948208,0.021100418811343,0.1981201445058985
WDM__TRB.csv,healthy,0.1089301503094606,0.0937223695844385,0.0186855290303566,0.0267904509283819,0.0837606837606837,0.0206012378426171,0.2078396699086354,0.0349837901562039,0.1146183318597111,0.0119363395225464,0.0750663129973474,0.0151193633952254,0.1879457707043914
LFJ__TRB.csv,healthy,0.1295581750339213,0.0912907055630936,0.021942842605156,0.0381614654002713,0.1069793080054274,0.0335608887381275,0.1722990162822252,0.031822421981004,0.1059192672998643,0.0107488127544097,0.0705351085481682,0.0149465739484396,0.1722354138398914
BF__TRB.csv,healthy,0.1424014581909318,0.1045796308954203,0.0159489633173843,0.0293916609706083,0.0952380952380952,0.0287081339712918,0.2089314194577352,0.0303030303030303,0.0676691729323308,0.0127591706539074,0.0467076782866256,0.0159489633173843,0.201412622465254
iRNormal_XH__TRB.csv,healthy,0.1326414904763955,0.133287401857354,0.0171381819747663,0.0302286526288593,0.0808824584822517,0.0195639380499217,0.1499519154860842,0.0296258020066313,0.1256943547345304,0.0124876200318649,0.0723707818398426,0.0129899955503882,0.1831374068811092
GH03_W_ZXM1225__TRB.csv,healthy,0.1190462220866238,0.1220971849000809,0.0216031636137481,0.0232929276335089,0.0809091869184102,0.0259331839143852,0.162276018258839,0.0395217029066288,0.1207242516340252,0.0128140438165197,0.0871401917412783,0.0122273201985472,0.1724146023774041
GH03_W_LXZ1225__TRB.csv,healthy,0.1067483442885721,0.0879608345034108,0.0219933150262801,0.0230867679767392,0.0735471365200859,0.0264292548366654,0.184284098957492,0.0367300786540588,0.1315746965046782,0.0124753041166018,0.090358975633395,0.0118291728276941,0.1929820201543259
HL_W_LS0121__TRB.csv,healthy,0.1287137112509968,0.0855489760252473,0.0158813648472097,0.0208867095373025,0.0840219217130155,0.0204964623241766,0.2138894073332541,0.0336969984899129,0.1187539236812189,0.013064798004649,0.0674109642499618,0.0142355396440266,0.1833992228990277
WJW__TRB.csv,healthy,0.0987854251012145,0.0620782726045884,0.0105263157894736,0.0188933873144399,0.0885290148448043,0.0234817813765182,0.2655870445344129,0.025910931174089,0.140080971659919,0.0089068825910931,0.0817813765182186,0.0062078272604588,0.1692307692307692
HL_W_XQF1225__TRB.csv,healthy,0.1221552640907479,0.0889282760250502,0.0187640316672574,0.0251683800070896,0.0850171334042301,0.017180668793572,0.1990074441687345,0.0365473236440978,0.1174642561739335,0.0114971050454921,0.0680609712867777,0.014368427271653,0.1958407184213635
