sample,therapy,IGL_d50
BW_1,before,3.498727735
BW_2,before,5.163700286
BW_5,before,1.975308642
BW_8,before,4.614534402
BW_11,before,3.433616743
BW_12,before,3.750713063
BW_13,before,3.164362519
BW_15,before,4.095826893
BW_4,after,4.587611792
BW_6,after,8.733717702
BW_7,after,5.846713117
BW_9,after,5.709281961
BW_10,after,3.127021781
BW_14,after,3.275332651
BW_16,after,3.719008264
BW_17,after,1.967322441
