sample,therapy,IGK_percent_reads
BW_1,before,3.972735339
BW_2,before,34.26187316
BW_5,before,23.8254079
BW_8,before,24.05315421
BW_11,before,29.77558068
BW_12,before,18.03058268
BW_13,before,31.44890937
BW_15,before,27.14637015
BW_4,after,29.56441956
BW_6,after,29.00293298
BW_7,after,19.68998965
BW_9,after,33.49394702
BW_10,after,19.03751638
BW_14,after,40.93945038
BW_16,after,21.33506694
BW_17,after,14.55505851
