sample,therapy,IGK_ucdr3
BW_1,before,2155.0
BW_2,before,7133.0
BW_5,before,6932.0
BW_8,before,3924.0
BW_11,before,9634.0
BW_12,before,9548.0
BW_13,before,9799.0
BW_15,before,13913.0
BW_4,after,9317.0
BW_6,after,6233.0
BW_7,after,2837.0
BW_9,after,3483.0
BW_10,after,5449.0
BW_14,after,4366.0
BW_16,after,14181.0
BW_17,after,4034.0
