sample,therapy,TRD_Simpson_evenness
BW_1,before,0.00432936
BW_2,before,0.016293942
BW_5,before,0.034654747
BW_8,before,0.025948705
BW_11,before,0.012354976
BW_12,before,0.039587865
BW_13,before,0.015005741
BW_15,before,0.00637746
BW_4,after,0.071635095
BW_6,after,0.068974971
BW_7,after,0.062795873
BW_9,after,0.162030005
BW_10,after,0.038342906
BW_14,after,0.297582526
BW_16,after,0.017004361
BW_17,after,0.015533712
