sample,therapy,TRG_percent_reads
BW_1,before,8.861014762
BW_2,before,2.560706274
BW_5,before,1.623578447
BW_8,before,1.989648304
BW_11,before,1.089027429
BW_12,before,1.515529415
BW_13,before,0.849172242
BW_15,before,2.625539043
BW_4,after,2.109368373
BW_6,after,1.517561396
BW_7,after,2.245303354
BW_9,after,1.636102122
BW_10,after,1.403289417
BW_14,after,0.107444669
BW_16,after,2.944496264
BW_17,after,3.277352339
