sample,therapy,naive_unmutated_percent_by_clone
BW_1,before,67.74949084
BW_2,before,18.62302006
BW_5,before,19.16566218
BW_8,before,2.78833967
BW_11,before,3.686807764
BW_12,before,19.52918357
BW_13,before,12.70640687
BW_15,before,14.94414697
BW_4,after,3.303201251
BW_6,after,27.27783395
BW_7,after,11.72273191
BW_9,after,11.92557722
BW_10,after,19.61278299
BW_14,after,10.22782592
BW_16,after,27.89446277
BW_17,after,46.38000997
