sample,therapy,IGHA_SHM0
BW_1,before,0.105848765
BW_2,before,0.090132149
BW_5,before,0.090794067
BW_8,before,0.091482549
BW_11,before,0.09721249
BW_12,before,0.093117356
BW_13,before,0.099481615
BW_15,before,0.098233897
BW_4,after,0.085462822
BW_6,after,0.088846376
BW_7,after,0.090692418
BW_9,after,0.084329127
BW_10,after,0.094412504
BW_14,after,0.102349522
BW_16,after,0.101918415
BW_17,after,0.070879127
