sample,therapy,IGL_Simpson_evenness
BW_1,before,0.077164432
BW_2,before,0.080727177
BW_5,before,0.031831696
BW_8,before,0.068586179
BW_11,before,0.027587768
BW_12,before,0.059561581
BW_13,before,0.06548419
BW_15,before,0.070591198
BW_4,after,0.06127493
BW_6,after,0.134080401
BW_7,after,0.046929165
BW_9,after,0.077817692
BW_10,after,0.053192525
BW_14,after,0.070607573
BW_16,after,0.068229841
BW_17,after,0.05172194
