sample,therapy,TRA_reads
BW_1,before,89809.0
BW_2,before,37854.0
BW_5,before,70147.0
BW_8,before,32260.0
BW_11,before,59505.0
BW_12,before,107203.0
BW_13,before,50455.0
BW_15,before,116319.0
BW_4,after,60374.0
BW_6,after,33011.0
BW_7,after,22967.0
BW_9,after,16447.0
BW_10,after,84910.0
BW_14,after,8041.0
BW_16,after,123192.0
BW_17,after,73645.0
