sample,therapy,TRD_Simpson
BW_1,before,0.633363442
BW_2,before,0.726015607
BW_5,before,0.867632679
BW_8,before,0.416097452
BW_11,before,0.86258226
BW_12,before,0.926781837
BW_13,before,0.697085634
BW_15,before,0.678024163
BW_4,after,0.959182345
BW_6,after,0.926777714
BW_7,after,0.936555325
BW_9,after,0.933637673
BW_10,after,0.938921678
BW_14,after,0.955784048
BW_16,after,0.957661307
BW_17,after,0.921396686
