sample,therapy,TRA_Gini_index
BW_1,before,0.724632112
BW_2,before,0.52560565
BW_5,before,0.561317382
BW_8,before,0.802667875
BW_11,before,0.540280953
BW_12,before,0.572164447
BW_13,before,0.659902753
BW_15,before,0.73224133
BW_4,after,0.539811823
BW_6,after,0.558903409
BW_7,after,0.483975285
BW_9,after,0.513043629
BW_10,after,0.580216828
BW_14,after,0.390568584
BW_16,after,0.559192815
BW_17,after,0.516170306
