sample,therapy,TRG_d50
BW_1,before,0.568181818
BW_2,before,0.460122699
BW_5,before,0.38961039
BW_8,before,1.282051282
BW_11,before,0.836120401
BW_12,before,0.0
BW_13,before,1.170960187
BW_15,before,0.433369447
BW_4,after,0.883977901
BW_6,after,1.655629139
BW_7,after,2.597402597
BW_9,after,2.830188679
BW_10,after,1.005586592
BW_14,after,5.504587156
BW_16,after,0.451030928
BW_17,after,0.379506641
