sample,therapy,Aligned_IGK
BW_1,before,10592.0
BW_2,before,122654.0
BW_5,before,117063.0
BW_8,before,34497.0
BW_11,before,164371.0
BW_12,before,82925.0
BW_13,before,156238.0
BW_15,before,159606.0
BW_4,after,137178.0
BW_6,after,41864.0
BW_7,after,20179.0
BW_9,after,29831.0
BW_10,after,90551.0
BW_14,after,125395.0
BW_16,after,119699.0
BW_17,after,48141.0
