sample,therapy,Aligned_TRA
BW_1,before,95941.0
BW_2,before,40801.0
BW_5,before,76491.0
BW_8,before,35458.0
BW_11,before,65229.0
BW_12,before,116034.0
BW_13,before,54564.0
BW_15,before,126579.0
BW_4,after,66340.0
BW_6,after,35940.0
BW_7,after,25293.0
BW_9,after,18160.0
BW_10,after,92483.0
BW_14,after,8909.0
BW_16,after,136974.0
BW_17,after,80130.0
