sample,therapy,IGHG12_percent_by_reads
BW_1,before,5.177594576
BW_2,before,18.84315779
BW_5,before,20.55496867
BW_8,before,7.449856734
BW_11,before,21.86107795
BW_12,before,15.16617174
BW_13,before,14.23868839
BW_15,before,16.94088782
BW_4,after,24.83355609
BW_6,after,16.97317093
BW_7,after,6.630283326
BW_9,after,18.242399
BW_10,after,17.76793418
BW_14,after,18.11487482
BW_16,after,7.241506808
BW_17,after,17.7780984
