sample,therapy,IGHG34-IGHM_IGHD_CSR1
BW_1,before,0.000116185
BW_2,before,0.000232992
BW_5,before,0.000545405
BW_8,before,0.0
BW_11,before,0.000372662
BW_12,before,0.000137855
BW_13,before,0.000327011
BW_15,before,0.000143458
BW_4,after,0.000124355
BW_6,after,0.00031027
BW_7,after,0.0
BW_9,after,0.000775795
BW_10,after,0.000547859
BW_14,after,0.000432776
BW_16,after,0.000117644
BW_17,after,9.91e-05
