sample,therapy,TRA_ucdr3
BW_1,before,22207.0
BW_2,before,16513.0
BW_5,before,27595.0
BW_8,before,5240.0
BW_11,before,25534.0
BW_12,before,40318.0
BW_13,before,15776.0
BW_15,before,28458.0
BW_4,after,25944.0
BW_6,after,12155.0
BW_7,after,8328.0
BW_9,after,5250.0
BW_10,after,32367.0
BW_14,after,4735.0
BW_16,after,49304.0
BW_17,after,32434.0
