sample,therapy,IGHG34_percent_by_reads
BW_1,before,0.269666384
BW_2,before,0.639820965
BW_5,before,0.764060906
BW_8,before,0.211129543
BW_11,before,1.240427452
BW_12,before,0.846417839
BW_13,before,0.64477984
BW_15,before,0.710294633
BW_4,after,3.367600585
BW_6,after,1.695724863
BW_7,after,0.336739433
BW_9,after,2.165764265
BW_10,after,1.786578565
BW_14,after,1.87931714
BW_16,after,0.639436252
BW_17,after,2.152647526
