sample,therapy,IGH_Largest_clone_percent
BW_1,before,3.758471965
BW_2,before,3.111155715
BW_5,before,2.496315569
BW_8,before,1.974378297
BW_11,before,1.258085617
BW_12,before,1.481955328
BW_13,before,3.638163199
BW_15,before,0.860968074
BW_4,after,1.497304851
BW_6,after,0.564836913
BW_7,after,6.506610995
BW_9,after,3.76992377
BW_10,after,2.421363488
BW_14,after,10.19942784
BW_16,after,0.457469466
BW_17,after,0.911424533
