sample,therapy,TRD_percent_ucdr3
BW_1,before,0.963229111
BW_2,before,0.335963044
BW_5,before,0.224985809
BW_8,before,0.306008902
BW_11,before,0.667255755
BW_12,before,0.280323713
BW_13,before,0.325371589
BW_15,before,0.483226005
BW_4,after,0.355934849
BW_6,after,0.471608232
BW_7,after,0.95379237
BW_9,after,0.486478004
BW_10,after,0.424596782
BW_14,after,0.280277327
BW_16,after,0.860088548
BW_17,after,0.797608149
