sample,therapy,IGL_reads
BW_1,before,6779.0
BW_2,before,46241.0
BW_5,before,77320.0
BW_8,before,22589.0
BW_11,before,100099.0
BW_12,before,50236.0
BW_13,before,83893.0
BW_15,before,64385.0
BW_4,after,69585.0
BW_6,after,21478.0
BW_7,after,17839.0
BW_9,after,17444.0
BW_10,after,70666.0
BW_14,after,56128.0
BW_16,after,55660.0
BW_17,after,35713.0
