fpr,tpr,class,auc
0.0,0.0,before,0.5724590163934427
0.0,0.013333333333333334,before,0.5724590163934427
0.0,0.05333333333333334,before,0.5724590163934427
0.01639344262295082,0.05333333333333334,before,0.5724590163934427
0.01639344262295082,0.09333333333333334,before,0.5724590163934427
0.03278688524590164,0.09333333333333334,before,0.5724590163934427
0.03278688524590164,0.22666666666666666,before,0.5724590163934427
0.08196721311475409,0.22666666666666666,before,0.5724590163934427
0.08196721311475409,0.25333333333333335,before,0.5724590163934427
0.11475409836065574,0.25333333333333335,before,0.5724590163934427
0.11475409836065574,0.26666666666666666,before,0.5724590163934427
0.14754098360655737,0.26666666666666666,before,0.5724590163934427
0.14754098360655737,0.30666666666666664,before,0.5724590163934427
0.2459016393442623,0.3466666666666667,before,0.5724590163934427
0.3114754098360656,0.3466666666666667,before,0.5724590163934427
0.3114754098360656,0.36,before,0.5724590163934427
0.32786885245901637,0.36,before,0.5724590163934427
0.32786885245901637,0.37333333333333335,before,0.5724590163934427
0.4262295081967213,0.4533333333333333,before,0.5724590163934427
0.4426229508196721,0.4533333333333333,before,0.5724590163934427
0.5245901639344263,0.52,before,0.5724590163934427
0.5901639344262295,0.5733333333333334,before,0.5724590163934427
0.5901639344262295,0.64,before,0.5724590163934427
0.639344262295082,0.7066666666666667,before,0.5724590163934427
0.7049180327868853,0.7866666666666666,before,0.5724590163934427
0.7049180327868853,0.8133333333333334,before,0.5724590163934427
0.7213114754098361,0.8133333333333334,before,0.5724590163934427
0.7540983606557377,0.88,before,0.5724590163934427
0.7540983606557377,0.8933333333333333,before,0.5724590163934427
0.7704918032786885,0.8933333333333333,before,0.5724590163934427
0.7704918032786885,0.9066666666666666,before,0.5724590163934427
0.7868852459016393,0.9066666666666666,before,0.5724590163934427
0.7868852459016393,0.92,before,0.5724590163934427
0.819672131147541,0.92,before,0.5724590163934427
0.819672131147541,0.9333333333333333,before,0.5724590163934427
0.8360655737704918,0.9333333333333333,before,0.5724590163934427
0.8360655737704918,0.9466666666666667,before,0.5724590163934427
0.8524590163934426,0.9466666666666667,before,0.5724590163934427
0.8524590163934426,0.96,before,0.5724590163934427
0.9344262295081968,0.96,before,0.5724590163934427
0.9344262295081968,0.9866666666666667,before,0.5724590163934427
0.9836065573770492,0.9866666666666667,before,0.5724590163934427
0.9836065573770492,1.0,before,0.5724590163934427
1.0,1.0,before,0.5724590163934427
