sample,therapy,top100TRD
BW_1,before,0.9236111111111112
BW_2,before,0.9580559254327564
BW_5,before,0.9390063944909002
BW_8,before,1.0
BW_11,before,0.8946040372670807
BW_12,before,0.8853391684901531
BW_13,before,0.9666221628838452
BW_15,before,0.9607630167673612
BW_4,after,0.8461160275319567
BW_6,after,0.9126050420168068
BW_7,after,0.9103385178408052
BW_9,after,1.0
BW_10,after,0.8609271523178808
BW_14,after,1.0
BW_16,after,0.8384095832802345
BW_17,after,0.8819013566095278
