sample,therapy,top10IGK
BW_1,before,0.1406265639075167
BW_2,before,0.3541412481428915
BW_5,before,0.1392576514000434
BW_8,before,0.1660678525150194
BW_11,before,0.1277421740202119
BW_12,before,0.0799419319915358
BW_13,before,0.1450319211809863
BW_15,before,0.1250445791726105
BW_4,after,0.1043047217625539
BW_6,after,0.0767535806096217
BW_7,after,0.1651738272354637
BW_9,after,0.1560713547764997
BW_10,after,0.1395265262117604
BW_14,after,0.3133456508233623
BW_16,after,0.0608359465612784
BW_17,after,0.1145945249043792
