sample,Category,TRAV14DV4,TRAV23DV6,TRAV29DV5,TRAV36DV7,TRAV38-2DV8,TRDV1,TRDV2,TRDV3
BW_11__TRD.csv,cancer,0.0005741626794258,0.0001913875598086,0.0066985645933014,0.0005741626794258,0.0036363636363636,0.543732057416268,0.2355980861244019,0.2089952153110048
BW_1__TRD.csv,cancer,9.143275121148396e-05,9.143275121148396e-05,0.0013714912681722,0.0001828655024229,0.0011886257657492,0.0309042699094815,0.1731736307945506,0.7929962512572003
BW_2__TRD.csv,cancer,,0.000654022236756,0.0019620667102681,,0.001308044473512,0.9058207979071288,0.080117724002616,0.0101373446697187
BW_8__TRD.csv,cancer,0.0012690355329949,,0.0063451776649746,,0.0025380710659898,0.9035532994923858,0.0862944162436548,
BW_5__TRD.csv,cancer,0.0056925996204933,,0.0208728652751423,0.00426944971537,0.0033206831119544,0.717741935483871,0.2343453510436432,0.0137571157495256
BW_15__TRD.csv,cancer,0.0001334311828674,,0.0336913736740276,,0.0012008806458069,0.9267462806057776,0.0314897591567149,0.0067382747348055
BW_12__TRD.csv,cancer,0.0042052144659377,0.0025231286795626,0.0067283431455004,0.0025231286795626,0.0088309503784693,0.4503784693019344,0.1761984861227922,0.3486122792262405
BW_13__TRD.csv,cancer,0.0005234231876472,0.0002617115938236,0.0327139492279507,0.0002617115938236,0.0023554043444124,0.8981941900026171,0.0573148390473698,0.0083747710023554
WDM__TRD.csv,healthy,0.000856653340948,0.0011422044545973,0.0031410622501427,0.000856653340948,0.0019988577955454,0.5502569960022844,0.3566533409480297,0.0850942318675042
LFJ__TRD.csv,healthy,0.0005994690417059,0.0015414918215295,0.0040250064228825,0.0011989380834118,0.0019696839941765,0.8369444206559904,0.1278581827524192,0.0258628072278838
BF__TRD.csv,healthy,0.0024937655860349,,0.0207813798836242,0.0041562759767248,0.0141313383208645,0.6026600166251039,0.3175394846217789,0.0382377389858686
iRNormal_XH__TRD.csv,healthy,0.0001303526037932,0.0003910578113797,0.003519520302418,0.0001303526037932,0.0021508179625888,0.0827087271068239,0.0475787003845401,0.8633904712246627
GH03_W_ZXM1225__TRD.csv,healthy,0.0027345393352965,0.0031552376945729,0.0086243163651661,0.0010517458981909,0.0071518721076987,0.2902818679007152,0.645561632309634,0.0414387883887252
GH03_W_LXZ1225__TRD.csv,healthy,,0.0022143489813994,0.0048715677590788,0.0004428697962798,0.0070859167404783,0.3188662533215234,0.6324180690876883,0.0341009743135518
HL_W_LS0121__TRD.csv,healthy,0.0006779661016949,0.0006779661016949,0.0088135593220338,0.0020338983050847,0.0166101694915254,0.0732203389830508,0.6952542372881356,0.2027118644067796
WJW__TRD.csv,healthy,0.0003178639542275,0.0031786395422759,0.0988556897647806,0.0012714558169103,,0.0750158931977113,0.2043865225683407,0.6169739351557534
HL_W_XQF1225__TRD.csv,healthy,0.0004071661237785,0.001628664495114,0.00814332247557,0.000814332247557,0.0083469055374592,0.4822882736156352,0.4370928338762215,0.0612785016286644
