sample,therapy,IGH_Simpson
BW_1,before,0.998069357
BW_2,before,0.997224987
BW_5,before,0.997739828
BW_8,before,0.996956073
BW_11,before,0.998967219
BW_12,before,0.998823931
BW_13,before,0.997715631
BW_15,before,0.999332237
BW_4,after,0.998561837
BW_6,after,0.999628341
BW_7,after,0.992464025
BW_9,after,0.997486045
BW_10,after,0.997797247
BW_14,after,0.98213426
BW_16,after,0.999653962
BW_17,after,0.998092781
