sample,therapy,IGHA_SHM1
BW_1,before,0.109567607
BW_2,before,0.093951659
BW_5,before,0.093216315
BW_8,before,0.091846556
BW_11,before,0.099414872
BW_12,before,0.097421433
BW_13,before,0.102647759
BW_15,before,0.100790868
BW_4,after,0.090420374
BW_6,after,0.089678544
BW_7,after,0.095670909
BW_9,after,0.085006236
BW_10,after,0.095636607
BW_14,after,0.104911498
BW_16,after,0.102067828
BW_17,after,0.072592103
