sample,therapy,Aligned_IGH
BW_1,before,13618.0
BW_2,before,76366.0
BW_5,before,124697.0
BW_8,before,14205.0
BW_11,before,146500.0
BW_12,before,59789.0
BW_13,before,135102.0
BW_15,before,104541.0
BW_4,after,84705.0
BW_6,after,13240.0
BW_7,after,9381.0
BW_9,after,7619.0
BW_10,after,100015.0
BW_14,after,101731.0
BW_16,after,98313.0
BW_17,after,35737.0
