sample,therapy,IGL_Shannon
BW_1,before,8.672209963
BW_2,before,10.28937077
BW_5,before,9.586183263
BW_8,before,6.880368346
BW_11,before,6.845704368
BW_12,before,7.280878123
BW_13,before,6.975126691
BW_15,before,7.469808144
BW_4,after,10.57144603
BW_6,after,7.547898291
BW_7,after,6.822433717
BW_9,after,6.776850477
BW_10,after,6.616150818
BW_14,after,6.11877277
BW_16,after,7.514206752
BW_17,after,5.939075011
