sample,therapy,IGK_Simpson_evenness
BW_1,before,0.108571088
BW_2,before,0.003218699
BW_5,before,0.036715559
BW_8,before,0.044958014
BW_11,before,0.021557311
BW_12,before,0.060864319
BW_13,before,0.025914501
BW_15,before,0.022317301
BW_4,after,0.044331876
BW_6,after,0.10446533
BW_7,after,0.071459103
BW_9,after,0.058843434
BW_10,after,0.049044247
BW_14,after,0.0079227
BW_16,after,0.056051655
BW_17,after,0.06464108
