sample,therapy,IGHG34-IGHM_IGHD_CSR0
BW_1,before,0.000154095
BW_2,before,0.002424434
BW_5,before,0.001912429
BW_8,before,0.0
BW_11,before,0.002467752
BW_12,before,7.11e-05
BW_13,before,0.001174506
BW_15,before,0.000340199
BW_4,after,0.00011242
BW_6,after,0.000716503
BW_7,after,0.0
BW_9,after,0.000555324
BW_10,after,0.006428737
BW_14,after,0.00041486
BW_16,after,0.000152247
BW_17,after,0.00167364
