sample,therapy,Aligned_TRB
BW_1,before,97851.0
BW_2,before,62510.0
BW_5,before,96687.0
BW_8,before,33934.0
BW_11,before,67998.0
BW_12,before,142289.0
BW_13,before,59296.0
BW_15,before,105377.0
BW_4,after,95894.0
BW_6,after,27916.0
BW_7,after,23281.0
BW_9,after,13082.0
BW_10,after,108878.0
BW_14,after,14497.0
BW_16,after,119481.0
BW_17,after,108862.0
