sample,therapy,IGH_Shannon
BW_1,before,12.25912577
BW_2,before,11.33267495
BW_5,before,11.38465376
BW_8,before,7.061670644
BW_11,before,8.006225917
BW_12,before,8.222349674
BW_13,before,7.752882394
BW_15,before,8.577388369
BW_4,after,12.10887381
BW_6,after,8.445421456
BW_7,after,6.89381697
BW_9,after,7.314248982
BW_10,after,7.586459156
BW_14,after,6.118113691
BW_16,after,9.228507312
BW_17,after,7.597975841
