sample,therapy,IGL_percent_ucdr3
BW_1,before,2.403485972
BW_2,before,6.825749168
BW_5,before,5.43371691
BW_8,before,16.77948813
BW_11,before,6.928584376
BW_12,before,5.697477899
BW_13,before,9.628041115
BW_15,before,7.703833064
BW_4,after,6.284019358
BW_6,after,11.15424924
BW_7,after,12.54369965
BW_9,after,14.93435162
BW_10,after,4.610902293
BW_14,after,10.80911639
BW_16,after,5.244744419
BW_17,after,2.920667692
