sample,therapy,IGH_percent_ucdr3
BW_1,before,13.16413118
BW_2,before,19.32537421
BW_5,before,18.97311523
BW_8,before,15.88464392
BW_11,before,15.26984774
BW_12,before,11.79553432
BW_13,before,22.67839976
BW_15,before,20.78864072
BW_4,after,16.7768122
BW_6,after,15.36299543
BW_7,after,10.00531996
BW_9,after,13.4958414
BW_10,after,12.74486407
BW_14,after,25.60480897
BW_16,after,21.07062138
BW_17,after,9.828402252
