sample,therapy,IGHA_observed_as_other_isotype
BW_1,before,0.043010753
BW_2,before,0.03565521
BW_5,before,0.070851247
BW_8,before,0.028915663
BW_11,before,0.054068966
BW_12,before,0.036764706
BW_13,before,0.042533799
BW_15,before,0.052477779
BW_4,after,0.032947462
BW_6,after,0.0613736
BW_7,after,0.036242604
BW_9,after,0.058043118
BW_10,after,0.059911894
BW_14,after,0.07496977
BW_16,after,0.027410602
BW_17,after,0.044258373
