sample,therapy,IGHG12-IGHM_IGHD_CSR0
BW_1,before,0.001155713
BW_2,before,0.007861477
BW_5,before,0.018386638
BW_8,before,0.000754034
BW_11,before,0.006922808
BW_12,before,0.003236304
BW_13,before,0.0235061
BW_15,before,0.01611307
BW_4,after,0.001286583
BW_6,after,0.009792214
BW_7,after,0.005805852
BW_9,after,0.007358045
BW_10,after,0.024767997
BW_14,after,0.008763924
BW_16,after,0.003284179
BW_17,after,0.01884288
