sample,therapy,IGHG12_observed_as_other_isotype
BW_1,before,0.037656904
BW_2,before,0.090813094
BW_5,before,0.120673813
BW_8,before,0.131519274
BW_11,before,0.10056619
BW_12,before,0.061688312
BW_13,before,0.118924509
BW_15,before,0.136516225
BW_4,after,0.047937246
BW_6,after,0.082973207
BW_7,after,0.105263158
BW_9,after,0.099673203
BW_10,after,0.089041096
BW_14,after,0.113784135
BW_16,after,0.059748428
BW_17,after,0.04155496
