sample,therapy,TRG_Pielou_evenness
BW_1,before,0.570337617
BW_2,before,0.531337256
BW_5,before,0.577992322
BW_8,before,0.592637244
BW_11,before,0.593911401
BW_12,before,0.471301777
BW_13,before,0.65120568
BW_15,before,0.545093859
BW_4,after,0.641474375
BW_6,after,0.673048857
BW_7,after,0.681517568
BW_9,after,0.720244875
BW_10,after,0.66381785
BW_14,after,0.797417064
BW_16,after,0.602241726
BW_17,after,0.578400658
