sample,therapy,IGL_percent_reads_all
BW_1,before,2.786357811
BW_2,before,13.20451149
BW_5,before,15.70718158
BW_8,before,16.05442362
BW_11,before,18.86887652
BW_12,before,11.41399132
BW_13,before,17.58760483
BW_15,before,11.41703304
BW_4,after,15.30554898
BW_6,after,15.66144937
BW_7,after,19.87915815
BW_9,after,20.70004431
BW_10,after,15.48117067
BW_14,after,18.80529401
BW_16,after,10.51379962
BW_17,after,11.1634795
